,complexity.dist_spec_init,complexity.fro_dist,complexity.fro_over_spec,complexity.inverse_margin,complexity.l2,complexity.l2_dist,complexity.log_prod_of_fro,complexity.log_prod_of_fro_over_margin,complexity.log_prod_of_spec,complexity.log_prod_of_spec_over_margin,complexity.log_sum_of_fro,complexity.log_sum_of_fro_over_margin,complexity.log_sum_of_spec,complexity.log_sum_of_spec_over_margin,complexity.pacbayes_flatness,complexity.pacbayes_init,complexity.pacbayes_mag_flatness,complexity.pacbayes_mag_init,complexity.pacbayes_mag_orig,complexity.pacbayes_orig,complexity.param_norm,complexity.params,complexity.path_norm,complexity.path_norm_over_margin,cross_entropy,data_seed,epoch,experiment_id,gen.gap,gen.train_acc,gen.val_acc,hp.lr,hp.model_depth,hp.model_width,index,is.converged,is.high_train_accuracy,is.last_epoch,repeat_id,seed,train_dataset_size,hp.dataset,complexity.dist_spec_init_adjusted1,complexity.fro_dist_adjusted1,complexity.fro_over_spec_adjusted1,complexity.inverse_margin_adjusted1,complexity.l2_adjusted1,complexity.l2_dist_adjusted1,complexity.pacbayes_flatness_adjusted1,complexity.pacbayes_init_adjusted1,complexity.pacbayes_mag_flatness_adjusted1,complexity.pacbayes_mag_init_adjusted1,complexity.pacbayes_mag_orig_adjusted1,complexity.pacbayes_orig_adjusted1,complexity.param_norm_adjusted1,complexity.path_norm_adjusted1,complexity.path_norm_over_margin_adjusted1,complexity.log_prod_of_fro_adjusted1,complexity.log_prod_of_fro_over_margin_adjusted1,complexity.log_prod_of_spec_adjusted1,complexity.log_prod_of_spec_over_margin_adjusted1,complexity.log_sum_of_fro_adjusted1,complexity.log_sum_of_fro_over_margin_adjusted1,complexity.log_sum_of_spec_adjusted1,complexity.log_sum_of_spec_over_margin_adjusted1,hp.train_dataset_size,complexity.log_spec_orig_main,complexity.log_spec_orig_main_adjusted1
35,49.04,2157,1656,inf,101,46.44,205.2,inf,72.6,inf,9.037,inf,5.548,inf,53.5,2.887e+04,3.344,5.872e+06,8.59e+06,1.366e+05,1.021e+04,7014380,7.393,inf,0.2475,42,300,8862306381679044440,0.4073,0.8941,0.4868,0.01,6,14,35,False,False,True,1590114210779756738,4,6250,cifar10,0.08858,0.5875,0.5147,inf,0.1272,0.0862,0.09252,2.149,0.02313,30.65,37.07,4.675,1.278,0.03439,inf,98.22,inf,31.93,inf,0.1483,inf,-1.596,inf,6250,inf,inf
42,39.36,2671,2886,0.03157,107.7,51.69,212.2,208.7,69.24,65.78,9.221,9.13,5.46,5.369,60.18,4.021e+04,4.747,3.253e+06,4.566e+06,1.747e+05,1.161e+04,3585280,91.04,2.874,0.009979,42,143,-4508936653500366188,0.4868,0.9997,0.5129,0.001,6,10,42,True,True,True,1590114382167737976,1,6250,cifar10,0.07936,0.6538,0.6796,0.002247,0.1313,0.09094,0.09813,2.536,0.02756,22.81,27.03,5.287,1.363,0.1207,0.02144,101.7,99.98,30.25,28.52,0.2402,0.1947,-1.64,-1.686,6250,73.75,32.5
44,47.02,1761,1435,0.04127,87.88,41.97,196.2,193,69.3,66.11,8.801,8.718,5.461,5.377,53.5,2.358e+04,3.878,3.176e+06,4.496e+06,1.033e+05,7723,3585280,7.723,0.3187,0.00938,42,66,-8999065712151771232,0.4578,0.9994,0.5416,0.01,6,10,44,True,True,True,1590113856497456223,1,6250,cifar10,0.08674,0.5309,0.4792,0.00257,0.1186,0.08194,0.09252,1.942,0.02491,22.54,26.82,4.066,1.112,0.03515,0.007141,93.74,92.15,30.28,28.68,0.03054,-0.01141,-1.64,-1.682,6250,73.38,32.32
45,42.83,2799,3190,0.03314,123.5,52.9,221,217.6,73.32,69.92,9.454,9.365,5.567,5.477,62.05,4.343e+04,3.16,7.608e+06,1.148e+07,2.366e+05,1.525e+04,9156430,12.42,0.4116,0.009724,42,67,8269298200742140557,0.4508,0.9997,0.5489,0.003162,6,16,45,True,True,True,1590115860703680740,4,6250,cifar10,0.08278,0.6692,0.7144,0.002303,0.1406,0.092,0.09964,2.636,0.02249,34.89,42.86,6.153,1.562,0.04457,0.008115,106.2,104.4,32.29,30.59,0.3571,0.3122,-1.587,-1.631,6250,77.98,34.62
46,33.15,3403,1416,0.03524,86.01,58.34,82.51,79.17,28.77,25.43,8.533,8.294,4.694,4.455,80.68,6.867e+04,10.91,9.259e+05,1.086e+06,1.492e+05,7397,826280,1179,41.54,0.009935,42,116,-5818915736647638061,0.4386,1,0.5614,0.001,2,10,46,True,True,True,1590114520358810091,3,6250,cifar10,0.07283,0.7379,0.4761,0.002375,0.1173,0.09661,0.1136,3.315,0.04178,12.17,13.18,4.886,1.088,0.4343,0.08153,36.89,35.21,10.02,8.343,-0.1038,-0.2233,-2.023,-2.143,6250,32.68,11.97
47,41.62,1887,2101,0.03807,97.09,43.44,204.8,201.6,68.84,65.57,9.028,8.942,5.449,5.363,55.06,2.599e+04,4,3.154e+06,4.591e+06,1.298e+05,9426,3585280,16.16,0.6153,0.009735,42,107,1817495499038860681,0.4609,0.9997,0.5388,0.003162,6,10,47,True,True,True,1590114527108615259,3,6250,cifar10,0.08161,0.5494,0.5798,0.002468,0.1246,0.08337,0.09386,2.039,0.0253,22.46,27.1,4.557,1.228,0.05085,0.009922,98.04,96.41,30.05,28.42,0.1437,0.1007,-1.646,-1.689,6250,73.22,32.24
49,27.71,1725,1677,0.04004,81.71,41.53,139.5,136.3,45.91,42.69,8.625,8.501,5.024,4.9,56.69,2.447e+04,4.262,1.343e+06,1.82e+06,9.464e+04,6676,1414630,140.4,5.62,0.009713,42,26,6667259706609207292,0.4672,0.9997,0.5325,0.003162,4,8,49,True,True,True,1590113446489380345,1,6250,cifar10,0.06659,0.5253,0.518,0.002531,0.1143,0.08152,0.09524,1.979,0.02611,14.66,17.06,3.891,1.034,0.1499,0.02999,65.4,63.79,18.58,16.97,-0.05759,-0.1195,-1.858,-1.92,6250,50.11,20.69
50,29.11,2292,1697,0.0446,92.38,47.87,115.4,112.3,39.02,35.91,8.767,8.612,4.947,4.791,60.18,3.45e+04,4.439,2.925e+06,3.896e+06,1.284e+05,8534,2962430,53.13,2.369,0.009784,42,17,-5125843615822465566,0.4158,1,0.5842,0.01,3,14,50,True,True,True,1590113143476431417,2,6250,cifar10,0.06825,0.6055,0.5211,0.002671,0.1216,0.08752,0.09813,2.349,0.02665,21.63,24.97,4.533,1.169,0.0922,0.01947,53.35,51.79,15.14,13.58,0.01357,-0.06418,-1.897,-1.975,6250,43.34,17.3
51,32.98,2987,1260,0.03719,82.03,54.65,81.5,78.21,28.55,25.26,8.46,8.225,4.678,4.443,64,4.781e+04,8.658,9.207e+05,1.088e+06,1.077e+05,6729,826280,694.6,25.84,0.009974,42,49,-9142362719294473386,0.4024,1,0.5976,0.003162,2,10,51,True,True,True,1590113555208558148,2,6250,cifar10,0.07264,0.6913,0.449,0.002439,0.1146,0.09351,0.1012,2.766,0.03722,12.14,13.19,4.151,1.038,0.3334,0.06429,36.38,34.73,9.904,8.258,-0.1399,-0.2575,-2.031,-2.149,6250,32.4,11.83
53,28.12,3708,2711,0.03602,110.3,60.89,121.6,118.3,40.05,36.72,9.076,8.91,4.998,4.832,72.82,6.753e+04,5.224,3.788e+06,4.933e+06,2.215e+05,1.216e+04,3865630,288.5,10.39,0.009866,42,17,-8900944018555765171,0.4564,1,0.5436,0.003162,3,16,53,True,True,True,1590113698829260939,2,6250,cifar10,0.06708,0.7703,0.6586,0.002401,0.1328,0.09871,0.1079,3.287,0.02891,24.62,28.09,5.953,1.395,0.2149,0.04078,56.44,54.77,15.65,13.99,0.168,0.08487,-1.871,-1.954,6250,44.63,17.94
