,complexity.dist_spec_init,complexity.fro_dist,complexity.fro_over_spec,complexity.inverse_margin,complexity.l2,complexity.l2_dist,complexity.log_prod_of_fro,complexity.log_prod_of_fro_over_margin,complexity.log_prod_of_spec,complexity.log_prod_of_spec_over_margin,complexity.log_sum_of_fro,complexity.log_sum_of_fro_over_margin,complexity.log_sum_of_spec,complexity.log_sum_of_spec_over_margin,complexity.pacbayes_flatness,complexity.pacbayes_init,complexity.pacbayes_mag_flatness,complexity.pacbayes_mag_init,complexity.pacbayes_mag_orig,complexity.pacbayes_orig,complexity.param_norm,complexity.params,complexity.path_norm,complexity.path_norm_over_margin,cross_entropy,data_seed,epoch,experiment_id,gen.gap,gen.train_acc,gen.val_acc,hp.lr,hp.model_depth,hp.model_width,index,is.converged,is.high_train_accuracy,is.last_epoch,repeat_id,seed,train_dataset_size,hp.dataset,complexity.dist_spec_init_adjusted1,complexity.fro_dist_adjusted1,complexity.fro_over_spec_adjusted1,complexity.inverse_margin_adjusted1,complexity.l2_adjusted1,complexity.l2_dist_adjusted1,complexity.pacbayes_flatness_adjusted1,complexity.pacbayes_init_adjusted1,complexity.pacbayes_mag_flatness_adjusted1,complexity.pacbayes_mag_init_adjusted1,complexity.pacbayes_mag_orig_adjusted1,complexity.pacbayes_orig_adjusted1,complexity.param_norm_adjusted1,complexity.path_norm_adjusted1,complexity.path_norm_over_margin_adjusted1,complexity.log_prod_of_fro_adjusted1,complexity.log_prod_of_fro_over_margin_adjusted1,complexity.log_prod_of_spec_adjusted1,complexity.log_prod_of_spec_over_margin_adjusted1,complexity.log_sum_of_fro_adjusted1,complexity.log_sum_of_fro_over_margin_adjusted1,complexity.log_sum_of_spec_adjusted1,complexity.log_sum_of_spec_over_margin_adjusted1,hp.train_dataset_size,complexity.log_spec_orig_main,complexity.log_spec_orig_main_adjusted1
866,39.91,1558,1265,0.03777,77.93,39.47,163.3,160,56.7,53.42,8.57,8.467,5.238,5.135,53.5,2.086e+04,7.186,1.857e+06,2.486e+06,8.124e+04,6072,1856430,18.63,0.7036,0.009769,42,43,7918459511017349215,0.3753,0.9985,0.6232,0.00631,5,8,866,True,True,True,1590115238062797752,4,12500,cifar10,0.05651,0.3531,0.3182,0.001738,0.07896,0.0562,0.06542,1.292,0.02398,12.19,14.1,2.549,0.697,0.0386,0.007502,76.95,75.31,23.63,21.99,-0.4319,-0.4831,-2.098,-2.149,12500,60.57,25.57
867,34.23,2266,1850,0.03806,100.9,47.61,148.7,145.4,50.47,47.2,8.976,8.85,5.199,5.074,56.69,3.214e+04,3.441,4.958e+06,7.066e+06,1.442e+05,1.017e+04,5629230,13.89,0.5287,0.007679,42,20,-5507333751871766013,0.337,0.9995,0.6625,0.01,4,16,867,True,True,True,1590114997533438573,4,12500,cifar10,0.05233,0.4258,0.3847,0.001745,0.08983,0.06171,0.06735,1.604,0.01659,19.92,23.77,3.396,0.9021,0.03333,0.006503,69.61,67.98,20.52,18.88,-0.2289,-0.2918,-2.117,-2.18,12500,54.72,22.64
868,37.42,2927,884.4,0.04495,74.53,54.1,78.25,75.15,28.26,25.15,8.228,8.007,4.657,4.436,64,4.685e+04,10.11,6.39e+05,7.236e+05,8.889e+04,5554,531030,588.3,26.44,0.009762,42,35,3245632698784002773,0.346,1,0.654,0.00631,2,8,868,True,True,True,1590114608184794766,3,12500,cifar10,0.05471,0.4839,0.266,0.001896,0.07722,0.06579,0.07155,1.936,0.02844,7.15,7.609,2.667,0.6666,0.2169,0.04599,34.41,32.86,9.411,7.86,-0.6026,-0.7134,-2.388,-2.499,12500,31.94,11.25
870,30.09,1724,1555,0.04417,80.32,41.53,138.9,135.8,46.18,43.06,8.602,8.482,5.034,4.914,60.18,2.597e+04,5.178,1.379e+06,1.844e+06,9.707e+04,6451,1414630,111.7,4.931,0.009673,42,23,6667259706609207292,0.3823,0.9998,0.6175,0.003162,4,8,870,True,True,True,1590114993033676736,3,12500,cifar10,0.04906,0.3714,0.3527,0.00188,0.08016,0.05764,0.06939,1.441,0.02035,10.5,12.14,2.787,0.7184,0.09451,0.01986,64.76,63.2,18.37,16.81,-0.4156,-0.4756,-2.2,-2.26,12500,50.41,20.49
871,35.68,2845,2959,0.03032,113.6,53.34,186.2,182.7,60.84,57.34,9.283,9.174,5.367,5.258,64,4.555e+04,9.288,5.985e+06,8.119e+06,2.064e+05,1.29e+04,5663730,50.58,1.534,0.009329,42,51,3338273222842280724,0.3833,0.999,0.6157,0.001585,5,14,871,True,True,True,1590115412909126164,1,12500,cifar10,0.05342,0.4771,0.4866,0.001557,0.09532,0.06532,0.07155,1.909,0.02726,21.88,25.49,4.064,1.016,0.06361,0.01108,88.36,86.61,25.7,23.95,-0.07515,-0.1298,-2.033,-2.088,12500,65.34,27.95
874,29.18,3536,2492,0.03677,105.3,59.47,120.2,116.9,39.86,36.56,9.007,8.841,4.989,4.824,83.59,7.392e+04,6.238,2.955e+06,3.799e+06,2.316e+05,1.108e+04,2962430,478,17.57,0.009217,42,21,7978339655068851090,0.4084,1,0.5916,0.001585,3,14,874,True,True,True,1590115284715669501,2,12500,cifar10,0.04831,0.5319,0.4465,0.001715,0.09177,0.06897,0.08178,2.432,0.02234,15.38,17.43,4.304,0.9415,0.1956,0.0375,55.39,53.74,15.21,13.56,-0.2134,-0.296,-2.222,-2.305,12500,44.38,17.47
876,29.85,2939,2614,0.03909,104.2,54.22,150.9,147.7,49.17,45.93,9.064,8.939,5.149,5.025,72.82,5.353e+04,5.178,3.137e+06,4.17e+06,1.976e+05,1.085e+04,3171930,295.4,11.55,0.00985,42,21,-9131364150256582685,0.3979,0.9998,0.6019,0.001585,4,12,876,True,True,True,1590115637606915807,4,12500,cifar10,0.04887,0.4849,0.4573,0.001768,0.09129,0.06586,0.07632,2.069,0.02035,15.84,18.26,3.976,0.9318,0.1537,0.0304,70.75,69.13,19.87,18.25,-0.1849,-0.2473,-2.142,-2.204,12500,53.8,22.18
877,28.67,1938,1337,0.04271,76.75,44.03,109.1,106,36.93,33.77,8.453,8.295,4.842,4.684,68.2,3.307e+04,6.299,9.956e+05,1.265e+06,1.004e+05,5890,972830,301.4,12.87,0.009321,42,21,-7355835387290159384,0.3984,1,0.6016,0.003162,3,8,877,True,True,True,1590114847138813613,4,12500,cifar10,0.04789,0.3938,0.3271,0.001848,0.07836,0.05935,0.07386,1.626,0.02245,8.924,10.06,2.835,0.6865,0.1553,0.03209,49.86,48.28,13.75,12.17,-0.4902,-0.5691,-2.296,-2.375,12500,40.97,15.77
878,42.35,1738,1272,0.03613,83.08,41.69,166.5,163.1,58.81,55.49,8.668,8.564,5.304,5.2,53.5,2.327e+04,4.589,2.576e+06,3.571e+06,9.234e+04,6902,2895530,13.2,0.4769,0.009593,42,42,4549684729478210883,0.3627,0.998,0.6353,0.01,5,10,878,True,True,True,1590114319803130735,1,12500,cifar10,0.05821,0.3729,0.3189,0.0017,0.08153,0.05775,0.06542,1.364,0.01916,14.36,16.9,2.718,0.7431,0.0325,0.006177,78.51,76.85,24.69,23.03,-0.383,-0.4349,-2.065,-2.117,12500,62.64,26.6
881,30.2,2028,1352,0.04535,80.89,45.03,111.1,108,37.95,34.85,8.55,8.395,4.893,4.738,64,3.247e+04,6.361,1.578e+06,2.02e+06,1.047e+05,6543,1516030,120.6,5.47,0.009595,42,19,-2691622468533697284,0.3648,0.9999,0.6351,0.00631,3,10,881,True,True,True,1590114665479551098,4,12500,cifar10,0.04916,0.4028,0.3289,0.001905,0.08044,0.06002,0.07155,1.612,0.02256,11.23,12.71,2.894,0.7235,0.09823,0.02092,50.83,49.28,14.26,12.71,-0.4417,-0.519,-2.27,-2.348,12500,42.06,16.32
883,34.98,3225,1199,0.04101,82.53,56.79,81.44,78.24,28.71,25.51,8.456,8.228,4.689,4.461,75.31,6.073e+04,9.629,9.589e+05,1.113e+06,1.282e+05,6811,826280,736.6,30.21,0.009972,42,42,-9142362719294473386,0.3464,1,0.6536,0.003162,2,10,883,True,True,True,1590114577703700653,0,12500,cifar10,0.0529,0.5079,0.3098,0.001811,0.08125,0.0674,0.07762,2.204,0.02775,8.758,9.435,3.203,0.7381,0.2427,0.04916,36,34.4,9.636,8.039,-0.4888,-0.6029,-2.372,-2.486,12500,32.6,11.58
884,37.99,2410,2404,0.03143,107.4,49.09,182.3,178.8,60.85,57.39,9.162,9.054,5.367,5.259,64,3.858e+04,10.11,6.002e+06,8.213e+06,1.847e+05,1.154e+04,5663730,21.57,0.678,0.009737,42,41,7217791444773154338,0.3685,0.9982,0.6297,0.003162,5,14,884,True,True,True,1590115897029967485,3,12500,cifar10,0.05513,0.4391,0.4385,0.001586,0.0927,0.06267,0.07155,1.757,0.02844,21.91,25.63,3.844,0.9608,0.04154,0.007365,86.43,84.7,25.71,23.98,-0.1356,-0.1897,-2.033,-2.087,12500,65.17,27.87
885,30.82,3786,3228,0.03556,115.9,61.53,155.7,152.4,50.45,47.11,9.246,9.118,5.198,5.07,80.68,7.639e+04,5.367,4.192e+06,5.554e+06,2.711e+05,1.344e+04,4313080,484.6,17.23,0.008196,42,25,1754727041327055591,0.4195,1,0.5805,0.001,4,14,885,True,True,True,1590115983029802141,3,12500,cifar10,0.04966,0.5503,0.5082,0.001687,0.09631,0.07016,0.08034,2.472,0.02072,18.31,21.08,4.657,1.037,0.1969,0.03713,73.13,71.46,20.51,18.84,-0.09365,-0.1578,-2.118,-2.182,12500,55.19,22.88
888,29.47,3072,2182,0.0414,100.6,55.43,118.8,115.6,39.57,36.39,8.934,8.775,4.974,4.815,77.93,5.987e+04,6.118,3.061e+06,3.942e+06,1.972e+05,1.012e+04,2962430,241.2,9.988,0.009359,42,17,-1532375267845160861,0.3807,1,0.6193,0.003162,3,14,888,True,True,True,1590115025316871691,2,12500,cifar10,0.04856,0.4958,0.4178,0.00182,0.08972,0.06659,0.07896,2.189,0.02212,15.65,17.76,3.972,0.8999,0.1389,0.02827,54.67,53.08,15.07,13.48,-0.2495,-0.3292,-2.23,-2.309,12500,44.08,17.32
889,41.58,2038,2097,0.03428,93.14,45.15,201.9,198.5,67.15,63.77,8.95,8.861,5.405,5.316,60.18,3.069e+04,5.224,2.158e+06,2.987e+06,1.305e+05,8676,2298230,44.65,1.53,0.009465,42,84,-5226700891785418501,0.391,1,0.609,0.001585,6,8,889,True,True,True,1590117150539836172,4,12500,cifar10,0.05767,0.4038,0.4096,0.001656,0.08632,0.0601,0.06939,1.567,0.02044,13.14,15.46,3.232,0.8331,0.05976,0.01107,96.22,94.53,28.86,27.17,-0.2418,-0.2862,-2.014,-2.059,12500,71.42,30.99
890,35.97,2998,1014,0.04474,81.91,54.76,81.35,78.24,29.36,26.26,8.45,8.228,4.737,4.515,66.05,4.953e+04,8.367,1.383e+06,1.621e+06,1.108e+05,6709,1186530,243.5,10.89,0.009049,42,26,-2775294095317312987,0.3283,1,0.6717,0.01,2,12,890,True,True,True,1590114596626240949,4,12500,cifar10,0.05364,0.4898,0.2848,0.001892,0.08095,0.06619,0.07269,1.991,0.02587,10.52,11.39,2.977,0.7326,0.1396,0.02952,35.96,34.41,9.965,8.412,-0.4918,-0.6028,-2.348,-2.459,12500,33.18,11.87
893,36.61,2892,918,0.04669,77.27,53.78,79.67,76.61,28.86,25.79,8.33,8.111,4.7,4.481,64,4.63e+04,11.35,1.014e+06,1.163e+06,9.555e+04,5971,826280,308.4,14.4,0.009827,42,28,159914500585748848,0.3356,1,0.6644,0.01,2,10,893,True,True,True,1590114496074974007,4,12500,cifar10,0.05412,0.481,0.271,0.001933,0.07862,0.06559,0.07155,1.925,0.03013,9.005,9.644,2.765,0.6911,0.1571,0.03394,35.12,33.59,9.711,8.179,-0.5518,-0.6612,-2.367,-2.476,12500,32.61,11.59
894,30.48,2668,1808,0.04072,95.33,51.65,116.7,113.5,39.39,36.19,8.829,8.669,4.965,4.805,72.82,4.858e+04,5.178,3.026e+06,3.931e+06,1.655e+05,9088,2962430,93.07,3.79,0.007572,42,16,3525081532476637291,0.3605,1,0.6395,0.00631,3,14,894,True,True,True,1590114912019728023,4,12500,cifar10,0.04938,0.462,0.3803,0.001805,0.08733,0.06428,0.07632,1.971,0.02035,15.56,17.73,3.638,0.8527,0.08629,0.01741,53.61,52.01,14.98,13.38,-0.3024,-0.3824,-2.234,-2.314,12500,43.69,17.13
898,27.87,2758,1921,0.03675,90.97,52.52,114.8,111.5,38.31,35,8.736,8.57,4.911,4.746,83.59,5.766e+04,7.339,1.517e+06,1.932e+06,1.73e+05,8275,1516030,650.1,23.89,0.009813,42,30,6568558403331794652,0.4388,1,0.5612,0.001,3,10,898,True,True,True,1590115866264484403,3,12500,cifar10,0.04722,0.4697,0.3921,0.001715,0.08531,0.06482,0.08178,2.148,0.02423,11.02,12.43,3.72,0.8136,0.2281,0.04372,52.68,51.03,14.44,12.79,-0.3489,-0.4315,-2.261,-2.344,12500,42.57,16.57
899,49.58,2404,2200,0.0391,113.5,49.04,214,210.8,74.32,71.08,9.269,9.184,5.593,5.508,60.18,3.62e+04,4,7.972e+06,1.18e+07,1.939e+05,1.289e+04,9156430,7.194,0.2813,0.009924,42,51,-3434481787209509561,0.3595,0.9992,0.6397,0.00631,6,16,899,True,True,True,1590114391083996279,0,12500,cifar10,0.06298,0.4386,0.4195,0.001769,0.0953,0.06263,0.06939,1.702,0.01789,25.25,30.73,3.939,1.015,0.02399,0.004744,102.3,100.7,32.44,30.82,-0.08217,-0.1248,-1.92,-1.963,12500,78.77,34.67
900,41.3,2250,2305,0.033,96.21,47.43,204.3,200.9,67.46,64.05,9.014,8.924,5.413,5.323,60.18,3.387e+04,5.224,2.127e+06,2.936e+06,1.393e+05,9256,2298230,104.2,3.438,0.00959,42,110,-8450065874759005672,0.4026,0.9997,0.5971,0.001,6,8,900,True,True,True,1590167332027204536,0,12500,cifar10,0.05748,0.4243,0.4294,0.001625,0.08773,0.0616,0.06939,1.646,0.02044,13.04,15.33,3.338,0.8605,0.09129,0.01658,97.44,95.73,29.01,27.31,-0.2097,-0.2546,-2.01,-2.055,12500,71.79,31.18
902,41.6,2716,2806,0.03315,107.4,52.12,212.1,208.7,69.55,66.14,9.219,9.129,5.468,5.378,64,4.348e+04,4.747,3.248e+06,4.54e+06,1.846e+05,1.154e+04,3585280,90.57,3.003,0.009776,42,105,-4508936653500366188,0.4029,0.9998,0.5969,0.001,6,10,902,True,True,True,1590167158504616202,0,12500,cifar10,0.05769,0.4662,0.4738,0.001629,0.09269,0.06457,0.07155,1.865,0.01949,16.12,19.06,3.843,0.9606,0.08512,0.0155,101.3,99.62,30.06,28.35,-0.1073,-0.1522,-1.983,-2.028,12500,74.08,32.32
903,32.3,1424,1134,0.04396,72.6,37.74,134.1,131,46.01,42.88,8.417,8.297,5.028,4.907,50.57,1.802e+04,4.439,1.282e+06,1.743e+06,6.666e+04,5271,1414630,25.26,1.11,0.008855,42,23,-2972983487453045749,0.3618,0.9993,0.6375,0.01,4,8,903,True,True,True,1590114030992602755,0,12500,cifar10,0.05084,0.3375,0.3012,0.001875,0.07621,0.05494,0.0636,1.201,0.01885,10.13,11.81,2.309,0.6494,0.04495,0.009424,62.35,60.79,18.29,16.72,-0.5082,-0.5683,-2.203,-2.263,12500,49.92,20.24
904,35.47,1823,1803,0.03116,86.22,42.7,170,166.5,56.51,53.04,8.777,8.668,5.232,5.123,60.18,2.746e+04,9.178,2.001e+06,2.651e+06,1.119e+05,7434,1856430,70.04,2.182,0.009736,42,60,-2048022436391706832,0.3955,0.9987,0.6032,0.001585,5,8,904,True,True,True,1590115236131767282,1,12500,cifar10,0.05327,0.3819,0.3798,0.001579,0.08305,0.05845,0.06939,1.482,0.0271,12.65,14.56,2.992,0.7712,0.07486,0.01321,80.26,78.52,23.54,21.8,-0.3284,-0.3826,-2.101,-2.155,12500,60.54,25.55
905,41.88,1865,1431,0.03992,90.1,43.18,171,167.7,60.01,56.79,8.808,8.707,5.341,5.24,55.06,2.569e+04,5.778,3.81e+06,5.336e+06,1.118e+05,8118,4164630,14.27,0.5696,0.009461,42,40,-9155870155226613232,0.3616,0.9987,0.6371,0.01,5,12,905,True,True,True,1590114042137763615,0,12500,cifar10,0.05788,0.3862,0.3384,0.001787,0.0849,0.05878,0.06637,1.434,0.0215,17.46,20.66,2.99,0.8059,0.03379,0.00675,80.76,79.15,25.29,23.68,-0.3127,-0.363,-2.046,-2.097,12500,64.06,27.31
909,47.01,2077,1826,0.03883,99.06,45.58,204.9,201.6,70.89,67.64,9.029,8.943,5.503,5.418,56.69,2.946e+04,4.031,4.608e+06,6.603e+06,1.391e+05,9813,5157330,8.759,0.3401,0.008984,42,58,4770274070504044230,0.3596,0.9991,0.6395,0.00631,6,12,909,True,True,True,1590116364912401106,4,12500,cifar10,0.06132,0.4076,0.3822,0.001762,0.08902,0.06038,0.06735,1.535,0.01796,19.2,22.98,3.336,0.886,0.02647,0.005216,97.71,96.09,30.73,29.11,-0.2024,-0.2452,-1.965,-2.008,12500,75.15,32.86
910,42.02,1730,1747,0.03778,87.3,41.59,197.2,193.9,66.6,63.32,8.828,8.741,5.39,5.304,55.06,2.383e+04,4.551,2.138e+06,2.987e+06,1.049e+05,7622,2298230,16.57,0.626,0.009713,42,66,-1252705006775983989,0.3836,0.9994,0.6158,0.003162,6,8,910,True,True,True,1590114577691497260,0,12500,cifar10,0.05798,0.372,0.3738,0.001738,0.08357,0.05768,0.06637,1.381,0.01908,13.08,15.46,2.897,0.7809,0.03641,0.007077,93.89,92.26,28.58,26.95,-0.3029,-0.346,-2.022,-2.065,12500,70.79,30.68
912,29.19,2337,1624,0.04294,85.59,48.34,113,109.9,38.03,34.89,8.647,8.489,4.897,4.74,72.82,4.256e+04,7.111,1.603e+06,2.035e+06,1.334e+05,7326,1516030,281,12.07,0.009965,42,20,-960831693199451593,0.3844,1,0.6156,0.003162,3,10,912,True,True,True,1590114576227510152,0,12500,cifar10,0.04832,0.4324,0.3604,0.001854,0.08275,0.06219,0.07632,1.845,0.02385,11.32,12.76,3.267,0.7655,0.1499,0.03107,51.79,50.22,14.3,12.73,-0.3933,-0.472,-2.268,-2.347,12500,42.28,16.42
914,36.47,3217,3278,0.02904,121.2,56.72,189.9,186.4,62,58.46,9.4,9.289,5.403,5.293,70.45,5.667e+04,8.463,7.699e+06,1.05e+07,2.586e+05,1.468e+04,7392830,44.84,1.302,0.009804,42,55,-7042261061882196347,0.3923,0.9982,0.6059,0.001585,5,16,914,True,True,True,1590115593233214765,1,12500,cifar10,0.05402,0.5073,0.5121,0.001524,0.09846,0.06736,0.07507,2.129,0.02602,24.82,28.98,4.549,1.084,0.05989,0.01021,90.23,88.46,26.28,24.51,-0.01672,-0.07202,-2.015,-2.07,12500,66.56,28.56
915,30.64,4370,3692,0.03624,124.3,66.11,158.9,155.6,51.26,47.95,9.37,9.242,5.23,5.102,80.68,8.818e+04,5.087,5.437e+06,7.209e+06,3.116e+05,1.544e+04,5629230,487.5,17.67,0.008934,42,24,5812349128615729751,0.4248,1,0.5752,0.001,4,16,915,True,True,True,1590116576066131758,4,12500,cifar10,0.04951,0.5913,0.5435,0.001703,0.09971,0.07272,0.08034,2.656,0.02017,20.86,24.02,4.992,1.112,0.1975,0.03759,74.74,73.08,20.92,19.26,-0.03171,-0.09551,-2.102,-2.166,12500,56.16,23.36
916,47.03,1911,1625,0.03947,91.39,43.71,199.5,196.2,69.33,66.1,8.887,8.802,5.462,5.377,56.69,2.71e+04,4.161,3.316e+06,4.634e+06,1.184e+05,8353,3585280,8.277,0.3267,0.009179,42,62,-6474181212330827612,0.3727,0.9994,0.6267,0.00631,6,10,916,True,True,True,1590115093412416688,2,12500,cifar10,0.06134,0.391,0.3605,0.001777,0.08551,0.05914,0.06735,1.473,0.01824,16.29,19.25,3.078,0.8174,0.02573,0.005112,95.02,93.41,29.95,28.33,-0.2732,-0.3158,-1.986,-2.028,12500,73.49,32.03
918,37.97,2318,2374,0.03275,106.6,48.15,182.1,178.7,60.82,57.4,9.157,9.051,5.366,5.259,64,3.711e+04,8.759,5.832e+06,8.076e+06,1.817e+05,1.136e+04,5663730,22.32,0.731,0.009701,42,45,7217791444773154338,0.3629,0.9982,0.6353,0.003162,5,14,918,True,True,True,1590114754619935743,0,12500,cifar10,0.05512,0.4306,0.4358,0.001619,0.09233,0.06206,0.07155,1.723,0.02647,21.6,25.42,3.813,0.9531,0.04225,0.007647,86.35,84.64,25.69,23.98,-0.138,-0.1914,-2.034,-2.087,12500,65.17,27.87
922,30.93,3913,3402,0.0385,120.5,62.55,157.7,154.4,51,47.75,9.323,9.198,5.22,5.094,77.93,7.625e+04,4.551,5.485e+06,7.326e+06,2.829e+05,1.452e+04,5629230,273.1,10.52,0.009726,42,20,-4279180479798122718,0.3892,0.9998,0.6106,0.001585,4,16,922,True,True,True,1590116089511717000,4,12500,cifar10,0.04974,0.5595,0.5217,0.001755,0.09818,0.07074,0.07896,2.47,0.01908,20.95,24.21,4.757,1.078,0.1478,0.029,74.13,72.5,20.78,19.16,-0.05505,-0.1177,-2.107,-2.169,12500,55.88,23.22
923,46.55,1844,1613,0.04064,90.95,42.94,199.1,195.8,69.2,65.99,8.876,8.791,5.459,5.374,56.69,2.616e+04,4.262,3.289e+06,4.63e+06,1.173e+05,8271,3585280,9.068,0.3686,0.009559,42,56,-6474181212330827612,0.3595,0.9991,0.6396,0.00631,6,10,923,True,True,True,1590114700191481336,1,12500,cifar10,0.06102,0.3841,0.3592,0.001803,0.0853,0.05861,0.06735,1.447,0.01847,16.22,19.25,3.063,0.8135,0.02693,0.00543,94.81,93.21,29.88,28.28,-0.2789,-0.321,-1.987,-2.03,12500,73.38,31.97
926,30.21,3887,2641,0.03642,108.2,62.35,120.9,117.6,40.07,36.76,9.042,8.877,4.999,4.834,80.68,7.843e+04,7.038,2.933e+06,3.748e+06,2.361e+05,1.171e+04,2962430,672.6,24.49,0.009943,42,26,8472726851279803983,0.4405,1,0.5595,0.001,3,14,926,True,True,True,1590115909953485973,3,12500,cifar10,0.04916,0.5576,0.4596,0.001707,0.09304,0.07062,0.08034,2.505,0.02373,15.32,17.31,4.346,0.9677,0.232,0.04427,55.75,54.09,15.32,13.66,-0.1956,-0.2784,-2.217,-2.3,12500,44.63,17.6
928,28.73,2124,1466,0.03937,79.68,46.09,110.3,107.1,37.25,34.02,8.511,8.35,4.858,4.697,75.31,4.002e+04,7.743,1.014e+06,1.279e+06,1.195e+05,6348,972830,531.3,20.92,0.009329,42,30,4444852121170596404,0.4319,1,0.5681,0.001585,3,8,928,True,True,True,1590115026998254171,2,12500,cifar10,0.04795,0.4122,0.3425,0.001775,0.07984,0.06072,0.07762,1.789,0.02489,9.007,10.12,3.092,0.7126,0.2062,0.04091,50.44,48.82,13.91,12.29,-0.4611,-0.542,-2.288,-2.368,12500,41.31,15.94
931,34.01,1970,1660,0.04326,93.98,44.38,145.7,142.6,49.6,46.46,8.864,8.743,5.166,5.045,58.4,2.878e+04,4.031,3.853e+06,5.467e+06,1.29e+05,8832,4313080,14.82,0.6412,0.009784,42,20,3200184347896181811,0.34,0.9994,0.6594,0.01,4,14,931,True,True,True,1590114211292178919,0,12500,cifar10,0.05217,0.397,0.3644,0.00186,0.08671,0.05959,0.06835,1.517,0.01796,17.56,20.91,3.212,0.8406,0.03443,0.007162,68.15,66.58,20.08,18.51,-0.285,-0.3454,-2.134,-2.194,12500,53.87,22.22
932,30.21,3761,3245,0.03696,115.8,61.32,155.7,152.4,50.41,47.11,9.245,9.118,5.197,5.07,83.59,7.861e+04,5.043,4.14e+06,5.506e+06,2.8e+05,1.34e+04,4313080,479.5,17.72,0.009408,42,25,1754727041327055591,0.4212,1,0.5788,0.001,4,14,932,True,True,True,1590115292715001106,0,12500,cifar10,0.04916,0.5485,0.5095,0.001719,0.09623,0.07004,0.08178,2.508,0.02009,18.2,20.99,4.733,1.035,0.1959,0.03765,73.11,71.46,20.49,18.84,-0.09439,-0.1578,-2.118,-2.182,12500,55.19,22.88
933,35.55,3166,3240,0.02838,117.1,56.27,188.2,184.6,61.11,57.55,9.347,9.236,5.376,5.264,70.45,5.578e+04,8.182,5.9e+06,7.969e+06,2.415e+05,1.371e+04,5663730,110.3,3.131,0.009744,42,61,-6052492033030106880,0.3972,0.9988,0.6016,0.001,5,14,933,True,True,True,1590115292716506858,0,12500,cifar10,0.05333,0.5033,0.5091,0.001507,0.09678,0.06709,0.07507,2.112,0.02558,21.72,25.25,4.395,1.047,0.09394,0.01583,89.39,87.61,25.84,24.06,-0.04315,-0.09881,-2.029,-2.085,12500,65.63,28.1
934,30.49,3718,3214,0.0371,115.4,60.98,155.6,152.3,50.45,47.16,9.244,9.117,5.199,5.072,83.59,7.773e+04,5.087,4.155e+06,5.528e+06,2.784e+05,1.332e+04,4313080,477.9,17.73,0.009062,42,26,1754727041327055591,0.4243,0.9999,0.5756,0.001,4,14,934,True,True,True,1590115740195863769,2,12500,cifar10,0.04939,0.5454,0.5071,0.001723,0.09609,0.06984,0.08178,2.494,0.02017,18.23,21.03,4.719,1.032,0.1955,0.03766,73.1,71.46,20.51,18.86,-0.09465,-0.158,-2.117,-2.181,12500,55.24,22.9
935,42.38,2424,2512,0.03341,103.4,49.23,209.4,206,69.3,65.9,9.149,9.06,5.461,5.372,60.18,3.649e+04,4.367,3.237e+06,4.563e+06,1.609e+05,1.069e+04,3585280,37.95,1.268,0.009386,42,93,516438601403070554,0.3939,0.9998,0.6059,0.001585,6,10,935,True,True,True,1590167171479391232,4,12500,cifar10,0.05823,0.4403,0.4483,0.001635,0.09095,0.06276,0.06939,1.708,0.01869,16.09,19.11,3.588,0.9249,0.0551,0.01007,100,98.3,29.93,28.23,-0.1422,-0.1869,-1.986,-2.031,12500,73.73,32.15
937,30.64,2975,2022,0.04434,101.7,54.55,119,115.9,40.07,36.96,8.944,8.789,4.999,4.844,75.31,5.604e+04,5.224,3.959e+06,5.161e+06,1.949e+05,1.035e+04,3865630,88.42,3.921,0.00914,42,15,-5623405005145988537,0.3553,1,0.6447,0.00631,3,16,937,True,True,True,1590115057676398537,4,12500,cifar10,0.04951,0.4879,0.4022,0.001883,0.09022,0.06606,0.07762,2.117,0.02044,17.8,20.32,3.949,0.9101,0.0841,0.01771,54.77,53.21,15.32,13.76,-0.2445,-0.3224,-2.217,-2.295,12500,44.57,17.57
944,41.17,1727,1442,0.03581,85.88,41.56,168.9,165.6,58.68,55.35,8.743,8.639,5.3,5.196,53.5,2.312e+04,5.087,2.693e+06,3.74e+06,9.866e+04,7375,2895530,17.26,0.6182,0.008464,42,44,766653553017414007,0.3615,0.9988,0.6373,0.00631,5,10,944,True,True,True,1590114474287643579,1,12500,cifar10,0.05739,0.3717,0.3397,0.001693,0.08289,0.05766,0.06542,1.36,0.02017,14.68,17.3,2.809,0.7681,0.03716,0.007032,79.72,78.06,24.63,22.96,-0.3451,-0.3971,-2.067,-2.119,12500,62.63,26.6
945,29.28,3096,2198,0.04017,100.8,55.64,118.8,115.6,39.55,36.33,8.937,8.776,4.973,4.812,72.82,5.638e+04,5.619,2.997e+06,3.875e+06,1.85e+05,1.016e+04,2962430,246.6,9.906,0.009548,42,17,-1532375267845160861,0.3885,1,0.6115,0.003162,3,14,945,True,True,True,1590114754660681727,0,12500,cifar10,0.0484,0.4977,0.4194,0.001793,0.0898,0.06672,0.07632,2.124,0.0212,15.48,17.61,3.847,0.9016,0.1405,0.02815,54.7,53.09,15.06,13.45,-0.2482,-0.3286,-2.23,-2.311,12500,44.03,17.3
