	index	complexity.dist_spec_init	complexity.fro_dist	complexity.fro_over_spec	complexity.inverse_margin	complexity.l2	complexity.l2_dist	complexity.log_prod_of_fro	complexity.log_prod_of_fro_over_margin	complexity.log_prod_of_spec	complexity.log_prod_of_spec_over_margin	complexity.log_sum_of_fro	complexity.log_sum_of_fro_over_margin	complexity.log_sum_of_spec	complexity.log_sum_of_spec_over_margin	complexity.pacbayes_flatness	complexity.pacbayes_init	complexity.pacbayes_mag_flatness	complexity.pacbayes_mag_init	complexity.pacbayes_mag_orig	complexity.pacbayes_orig	complexity.param_norm	complexity.params	complexity.path_norm	complexity.path_norm_over_margin	cross_entropy	data_seed	epoch	experiment_id	gen.gap	gen.train_acc	gen.val_acc	hp.lr	hp.model_depth	hp.model_width	seed	train_dataset_size	repeat_id	is.last_epoch	is.converged	is.high_train_accuracy
10	10	47.02226638793945	5285.3515625	1252.1361083984375	0.04631350561976433	94.26007080078125	72.7004165649414	83.02243041992188	79.95011138916016	29.816322326660156	26.744001388549805	19.930173873901367	19.710721969604492	16.129737854003906	15.910285949707031	83.59183502197266	110476.0703125	20.897958755493164	1136462.125	1243354.25	185700.578125	8884.9619140625	826280	1977.131103515625	91.56787109375	0.009602578582763671	42	65	-3728529269831051920	0.26759999999999995	1.0	0.7324	0.001	2	10	4	50000	1590098201990087499	True	True	True
11	11	47.37654113769531	5198.21875	1260.8507080078125	0.04600720480084419	93.77932739257812	72.09868621826172	82.9754638671875	79.8965072631836	29.74687957763672	26.667922973632812	19.92681884765625	19.706893920898438	16.12477684020996	15.904851913452148	96.94674682617188	126010.7578125	22.896671295166016	1148316.125	1256524.375	213174.171875	8794.5634765625	826280	1865.1429443359375	85.81001281738281	0.009654717559814454	42	66	-3728529269831051920	0.26988	0.99998	0.7301	0.001	2	10	3	50000	1590098203091222337	True	True	True
12	12	50.55384063720703	5497.5615234375	1068.206787109375	0.04691459611058235	91.14916229248047	74.14554595947266	80.71739959716797	77.65797424316406	29.30376625061035	26.244338989257812	19.76552963256836	19.546998977661133	16.09312629699707	15.874595642089844	83.59183502197266	114910.8515625	23.777233123779297	761615.75	816182.0	173646.828125	8308.1708984375	531030	2379.1435546875	111.6165542602539	0.009475935134887696	42	85	-8523305536344828929	0.2781	1.0	0.7219	0.001	2	8	2	50000	1590098205644983447	True	True	True
13	13	45.45501708984375	5163.20654296875	1434.7913818359375	0.0445316806435585	97.66411590576172	71.85545349121094	84.82697296142578	81.71541595458984	30.222633361816406	27.1110782623291	20.059070587158203	19.836814880371094	16.15876007080078	15.936505317687988	93.32289123535156	120484.4140625	16.7772159576416	1540931.625	1722406.5	222558.046875	9538.279296875	1186530	1583.1732177734375	70.5013656616211	0.009786436386108398	42	55	-502694889760783273	0.259	1.0	0.741	0.001	2	12	3	50000	1590099102765258870	True	True	True
14	14	42.67683792114258	5112.48583984375	1619.8704833984375	0.04440953955054283	101.2739028930664	71.50164794921875	86.37415313720703	83.25984954833984	30.560972213745117	27.446670532226562	20.16958236694336	19.947132110595703	16.182926177978516	15.960476875305176	96.94674682617188	123932.828125	16.5119686126709	2044904.375	2324647.0	248604.34375	10256.4033203125	1611780	1259.923583984375	55.9526252746582	0.009998175430297851	42	50	310467161285297772	0.2551	1.0	0.7449	0.001	2	14	0	50000	1590099150055755046	True	True	True
15	15	43.809608459472656	5489.7314453125	1790.09619140625	0.04324457421898842	106.7906265258789	74.09272766113281	87.91130065917969	84.77041625976562	31.071500778198242	27.930618286132812	20.27937889099121	20.055030822753906	16.219392776489258	15.995044708251953	100.78585052490234	138344.96875	12.468204498291016	2536922.0	2920146.5	287369.59375	11404.2392578125	2102030	1176.29296875	50.8682861328125	0.009887319107055663	42	45	-7822844957002484117	0.2558	1.0	0.7442	0.001	2	16	2	50000	1590098304658609578	True	True	True
16	16	43.437957763671875	5274.4345703125	1628.40966796875	0.04410737380385399	102.10601043701172	72.62529754638672	86.46968078613281	83.34854888916016	30.575809478759766	27.454681396484375	20.176406860351562	19.953468322753906	16.18398666381836	15.96104907989502	93.32289123535156	123079.4453125	16.7772159576416	2064641.375	2338430.75	243260.75	10425.6357421875	1611780	1375.1995849609375	60.65644454956055	0.009889620132446288	42	49	310467161285297772	0.25917999999999997	0.99998	0.7408	0.001	2	14	1	50000	1590098318798453971	True	True	True
17	17	42.874298095703125	5587.78369140625	1829.03369140625	0.04421280696988106	107.30860137939453	74.75148010253906	87.98451232910156	84.86576843261719	30.949539184570312	27.830799102783203	20.284608840942383	20.061840057373047	16.210681915283203	15.987914085388184	100.78585052490234	140815.515625	12.641975402832031	2550615.5	2929633.75	290163.8125	11515.1376953125	2102030	1268.581787109375	56.08755874633789	0.009995395889282227	42	46	-7822844957002484117	0.25980000000000003	1.0	0.7402	0.001	2	16	1	50000	1590098320701180381	True	True	True
18	18	43.044761657714844	5327.6796875	1640.377685546875	0.04334171488881111	102.4365005493164	72.99095153808594	86.50323486328125	83.36459350585938	30.556194305419922	27.41755485534668	20.178802490234375	19.954614639282227	16.182584762573242	15.958396911621094	96.94674682617188	129148.3984375	17.048908233642578	2070338.0	2342688.5	254344.390625	10493.236328125	1611780	1350.1728515625	58.51880645751953	0.00942928741455078	42	50	310467161285297772	0.26339999999999997	1.0	0.7366	0.001	2	14	4	50000	1590098323100588071	True	True	True
19	19	43.15789031982422	5526.49853515625	1816.395751953125	0.04401727393269539	107.02132415771484	74.34041595458984	87.92027282714844	84.7970962524414	30.96111297607422	27.837940216064453	20.280019760131836	20.056936264038086	16.21150779724121	15.988424301147461	100.78585052490234	139271.3125	15.275567054748535	2624311.5	3006298.25	288612.40625	11453.5634765625	2102030	1210.1724853515625	53.26849365234375	0.009877400283813476	42	46	-7822844957002484117	0.2572	1.0	0.7428	0.001	2	16	0	50000	1590098324135223320	True	True	True
