	complexity.dist_spec_init	complexity.fro_dist	complexity.fro_over_spec	complexity.inverse_margin	complexity.l2	complexity.l2_dist	complexity.log_prod_of_fro	complexity.log_prod_of_fro_over_margin	complexity.log_prod_of_spec	complexity.log_prod_of_spec_over_margin	complexity.log_sum_of_fro	complexity.log_sum_of_fro_over_margin	complexity.log_sum_of_spec	complexity.log_sum_of_spec_over_margin	complexity.pacbayes_flatness	complexity.pacbayes_init	complexity.pacbayes_mag_flatness	complexity.pacbayes_mag_init	complexity.pacbayes_mag_orig	complexity.pacbayes_orig	complexity.param_norm	complexity.params	complexity.path_norm	complexity.path_norm_over_margin	cross_entropy	data_seed	epoch	experiment_id	gen.gap	gen.train_acc	gen.val_acc	hp.lr	hp.model_depth	hp.model_width	index	is.converged	is.high_train_accuracy	is.last_epoch	repeat_id	seed	train_dataset_size
448	33.9321	2948.49	1751.22	0.0483214	99.2533	54.3	118.192	115.162	40.5944	37.5645	8.90531	8.75382	5.02545	4.87396	70.4499	51952.4	6.36133	4.05483e+06	5.21767e+06	173526	9851.21	3865630	69.0481	3.3365	0.00960779	42	15	-6535601704774738064	0.28238	0.99988	0.7175	0.00630957	3	16	448	True	True	True	1590103126783538903	4	25000
449	34.6681	2988.71	1739.74	0.0483338	99.4664	54.6691	118.174	115.144	40.6086	37.5789	8.90441	8.75293	5.02616	4.87468	72.8178	54430.2	6.48855	4.08729e+06	5.2412e+06	180129	9893.56	3865630	70.0016	3.38344	0.00994186	42	16	-6535601704774738064	0.27934	0.99984	0.7205	0.00630957	3	16	449	True	True	True	1590103126999085214	3	25000
474	34.6531	1946.03	964.712	0.0503646	70.8928	44.1139	106.344	103.356	37.5578	34.5693	8.31294	8.16351	4.87362	4.7242	60.18	29300.2	6.29912	995895	1.22572e+06	75635.2	5025.8	972830	104.668	5.27158	0.00966789	42	21	7040169141111007927	0.28988	0.99968	0.7098	0.01	3	8	474	True	True	True	1590103371617013591	0	25000
475	34.9048	1925.89	946.482	0.049142	70.7464	43.885	106.242	103.229	37.7112	34.6981	8.30783	8.15718	4.88129	4.73064	64	30836.5	7.33865	1.02604e+06	1.25739e+06	80103.1	5005.06	972830	102.405	5.0324	0.00891106	42	20	7040169141111007927	0.29072	0.99992	0.7092	0.01	3	8	475	True	True	True	1590103372243455917	1	25000
477	35.1947	1939.69	946.786	0.0507849	70.9255	44.0419	106.259	103.279	37.6992	34.719	8.30868	8.15968	4.88069	4.73168	64	31057.2	7.11111	1.02429e+06	1.25513e+06	80509	5030.42	972830	101.76	5.16788	0.00980587	42	20	7040169141111007927	0.28298	0.99968	0.7167	0.01	3	8	477	True	True	True	1590103384682640993	3	25000
478	34.7646	1952.38	955.78	0.0508072	71.0174	44.1858	106.373	103.393	37.6846	34.7049	8.31438	8.1654	4.87996	4.73098	64	31260.4	6.48855	1.00867e+06	1.23856e+06	80717.7	5043.47	972830	108.154	5.49501	0.00952686	42	20	7040169141111007927	0.28992	0.99972	0.7098	0.01	3	8	478	True	True	True	1590103384714680031	4	25000
479	34.7125	2073.13	1079.36	0.0472688	77.1094	45.5316	109.405	106.353	38.6405	35.5886	8.46597	8.31338	4.92776	4.77516	66.0479	34253.6	6.48855	1.55914e+06	1.95713e+06	98200	5945.86	1516030	71.2132	3.36616	0.00848697	42	19	-2583109788030533254	0.28386	0.99976	0.7159	0.01	3	10	479	True	True	True	1590103384720606437	1	25000
480	34.9547	2119.03	1082.72	0.0469995	77.4532	46.0329	109.477	106.42	38.6596	35.6019	8.4696	8.31672	4.92871	4.77583	70.4499	37343.6	5.94431	1.54531e+06	1.93839e+06	105679	5999	1516030	73.2284	3.4417	0.00830431	42	19	-2583109788030533254	0.28494	0.99984	0.7149	0.01	3	10	480	True	True	True	1590103384858470498	0	25000
481	35.0524	1973.57	960.951	0.048846	71.1638	44.4249	106.395	103.376	37.658	34.6389	8.31551	8.16455	4.87863	4.72768	64	31599.3	7.33865	1.02841e+06	1.25669e+06	81050.9	5064.29	972830	107.24	5.23825	0.00886479	42	21	7040169141111007927	0.28876	0.99976	0.711	0.01	3	8	481	True	True	True	1590103399814703600	2	25000
482	34.9026	2151.23	1095.52	0.0494666	77.8376	46.3813	109.48	106.474	38.5627	35.5562	8.46974	8.31941	4.92387	4.77354	66.0479	35543.2	6.75472	1.58801e+06	1.97913e+06	100063	6058.7	1516030	70.8794	3.50616	0.00950876	42	18	-2583109788030533254	0.28314	0.99984	0.7167	0.01	3	10	482	True	True	True	1590103412902942266	4	25000
483	35.0065	2077.77	1078	0.0499538	77.1901	45.5826	109.425	106.429	38.6412	35.6446	8.467	8.31716	4.92779	4.77796	64	33266.6	6.5536	1.56688e+06	1.96482e+06	95355.1	5958.31	1516030	72.0325	3.5983	0.00947211	42	18	-2583109788030533254	0.2834	0.9998	0.7164	0.01	3	10	483	True	True	True	1590103413445093208	2	25000
484	34.7029	2287.23	1208.6	0.0500407	83.587	47.825	111.955	108.961	39.3257	36.3308	8.59351	8.44376	4.96202	4.81227	66.0479	37788.9	6.29912	2.25193e+06	2.85849e+06	115388	6986.78	2179230	51.4543	2.57481	0.00932607	42	17	1233288220085125026	0.27718	0.99988	0.7227	0.01	3	12	484	True	True	True	1590103424545690065	0	25000
485	34.7276	2111.89	1090.61	0.0507168	77.5662	45.9554	109.493	106.512	38.5702	35.5887	8.4704	8.32132	4.92424	4.77517	62.0459	32780.8	7.11111	1.59574e+06	1.9912e+06	93347.3	6016.52	1516030	71.2878	3.61549	0.00989705	42	18	-2583109788030533254	0.28278	0.99968	0.7169	0.01	3	10	485	True	True	True	1590103427147121273	3	25000
486	34.3397	2271.98	1230.07	0.0499252	83.5198	47.6653	112.087	109.089	39.252	36.2547	8.60007	8.45021	4.95833	4.80847	66.0479	37537	7.11111	2.28825e+06	2.89756e+06	115202	6975.56	2179230	54.7195	2.73188	0.00973236	42	17	1233288220085125026	0.28114	0.99964	0.7185	0.01	3	12	486	True	True	True	1590103433457142982	1	25000
487	35.2277	2324.98	1216.62	0.0478673	83.9076	48.218	112.165	109.126	39.4537	36.4144	8.60398	8.45202	4.96842	4.81645	66.0479	38412.2	6.29912	2.25662e+06	2.85845e+06	116274	7040.48	2179230	57.1859	2.73733	0.00881655	42	17	1233288220085125026	0.28104	0.99964	0.7186	0.01	3	12	487	True	True	True	1590103433570726913	2	25000
488	35.1114	2292.4	1218.68	0.0465175	83.6985	47.8791	112.12	109.052	39.4312	36.3633	8.60175	8.44835	4.96729	4.8139	66.0479	37874.3	5.67104	2.20731e+06	2.8141e+06	115696	7005.44	2179230	56.1489	2.61191	0.00858878	42	17	1233288220085125026	0.27482	0.99972	0.7249	0.01	3	12	488	True	True	True	1590103457574288971	3	25000
489	34.7491	2327.77	1217.14	0.0509383	83.8913	48.2469	112.051	109.074	39.3417	36.3645	8.59831	8.44945	4.96282	4.81396	68.1956	39708.1	6.5536	2.27087e+06	2.87184e+06	120008	7037.76	2179230	52.842	2.69169	0.00972426	42	17	1233288220085125026	0.2754	0.9998	0.7244	0.01	3	12	489	True	True	True	1590103458993224390	4	25000
490	34.6255	2478.77	1361.5	0.047364	89.4373	49.7872	114.408	111.359	39.9484	36.8985	8.71616	8.56366	4.99315	4.84066	72.8178	45146.9	5.8881	3.01892e+06	3.88422e+06	145640	7999.03	2962430	45.6124	2.16039	0.00876391	42	16	-7977750135435059581	0.26442	0.99992	0.7355	0.01	3	14	490	True	True	True	1590103470356156615	0	25000
491	34.9641	2470.99	1333.68	0.0477357	89.3003	49.7091	114.281	111.239	40.0759	37.0338	8.70978	8.55768	4.99953	4.84742	70.4499	43542.6	6.29912	3.05849e+06	3.92384e+06	140474	7974.55	2962430	44.7599	2.13665	0.00881051	42	16	-7977750135435059581	0.27234	0.99984	0.7275	0.01	3	14	491	True	True	True	1590103470828510930	4	25000
492	35.1085	2531.19	1341.39	0.0498934	89.6836	50.311	114.372	111.374	40.096	37.0981	8.71433	8.56443	5.00053	4.85064	75.3071	47676.5	6.68666	3.10065e+06	3.95454e+06	151449	8043.15	2962430	45.2823	2.25929	0.00956147	42	17	-7977750135435059581	0.2814	0.9998	0.7184	0.01	3	14	492	True	True	True	1590103471096820328	2	25000
493	35.2801	2494.28	1339.51	0.0494147	89.5419	49.9428	114.446	111.438	40.1385	37.131	8.71802	8.56764	5.00266	4.85228	75.3071	46981.6	5.22449	2.96307e+06	3.8255e+06	150971	8017.75	2962430	46.9048	2.31779	0.00945092	42	16	-7977750135435059581	0.27028	0.99968	0.7294	0.01	3	14	493	True	True	True	1590103471245790973	3	25000
