	index	complexity.dist_spec_init	complexity.fro_dist	complexity.fro_over_spec	complexity.inverse_margin	complexity.l2	complexity.l2_dist	complexity.log_prod_of_fro	complexity.log_prod_of_fro_over_margin	complexity.log_prod_of_spec	complexity.log_prod_of_spec_over_margin	complexity.log_sum_of_fro	complexity.log_sum_of_fro_over_margin	complexity.log_sum_of_spec	complexity.log_sum_of_spec_over_margin	complexity.pacbayes_flatness	complexity.pacbayes_init	complexity.pacbayes_mag_flatness	complexity.pacbayes_mag_init	complexity.pacbayes_mag_orig	complexity.pacbayes_orig	complexity.param_norm	complexity.params	complexity.path_norm	complexity.path_norm_over_margin	cross_entropy	data_seed	epoch	experiment_id	gen.gap	gen.train_acc	gen.val_acc	hp.lr	hp.model_depth	hp.model_width	seed	train_dataset_size	repeat_id	is.last_epoch	is.converged	is.high_train_accuracy
539	539	43.10579299926758	3021.619140625	3291.08935546875	0.029287323355674744	121.93096160888672	54.96925735473633	220.31381225585938	216.78321838378906	72.78560638427734	69.2550048828125	9.435317993164062	9.3424072265625	5.552996635437012	5.460086345672607	53.498775482177734	40435.34765625	3.5694503784179688	6083762.5	8870320.0	198865.8125	14867.162109375	7014380	29.64832305908203	0.8683199882507324	0.009013200225830078	42	38	6086328905869543902	0.11236000000000002	0.99956	0.8872	0.001584893192461114	6	14	0	25000	1590953151474184514	True	True	True
540	540	42.63705825805664	2585.75048828125	2860.82568359375	0.030307378619909286	112.44432830810547	50.850276947021484	214.6748046875	211.17843627929688	70.92867279052734	67.43231201171875	9.286922454833984	9.194913864135742	5.5041303634643555	5.412120819091797	52.00238037109375	33638.3984375	3.4917149543762207	4470012.0	6510491.0	164398.078125	12643.7265625	5157330	28.427907943725586	0.8615753650665283	0.008286798248291016	42	50	-7349678080533948797	0.10658000000000001	0.99948	0.8929	0.001584893192461114	6	12	3	25000	1590953152384188263	True	True	True
541	541	43.198646545410156	2985.056396484375	3306.4482421875	0.02991323359310627	121.45970916748047	54.63566970825195	220.06631469726562	216.55685424804688	72.45803833007812	68.9485855102539	9.428804397583008	9.336450576782227	5.544376373291016	5.452022552490234	53.498775482177734	39946.33203125	3.54325270652771	6063131.5	8857413.0	197331.765625	14752.462890625	7014380	27.61450958251953	0.8260393142700195	0.009195314483642579	42	39	6086328905869543902	0.1109	0.9994	0.8885	0.001584893192461114	6	14	2	25000	1590953172003911746	True	True	True
542	542	42.960182189941406	2949.99169921875	3294.26171875	0.03127984702587128	121.35672760009766	54.31382369995117	220.2255096435547	216.76072692871094	72.45104217529297	68.98625946044922	9.432994842529297	9.341815948486328	5.544192314147949	5.453013896942139	53.498775482177734	39477.3515625	3.3436734676361084	6030994.0	8842987.0	196997.3125	14727.455078125	7014380	27.719799041748047	0.8670710325241089	0.009031598510742188	42	41	6086328905869543902	0.11499999999999999	0.9996	0.8846	0.001584893192461114	6	14	1	25000	1590953172017138477	True	True	True
543	543	43.0537109375	3036.92333984375	3301.05224609375	0.032560236752033234	121.91832733154297	55.10828399658203	220.2518310546875	216.82716369628906	72.5697021484375	69.14503479003906	9.433687210083008	9.3435640335083	5.5473151206970215	5.457192420959473	53.498775482177734	40640.03125	3.5173423290252686	6098196.0	8875573.0	198824.609375	14864.08203125	7014380	29.023860931396484	0.9450237154960632	0.00980401107788086	42	38	6086328905869543902	0.10806000000000004	0.99936	0.8913	0.001584893192461114	6	14	4	25000	1590953200444981083	True	True	True
544	544	43.66188049316406	3375.958251953125	3723.077880859375	0.03300252556800842	129.9544219970703	58.102996826171875	224.8726348876953	221.46145629882812	73.83182525634766	70.420654296875	9.555286407470703	9.465518951416016	5.580528736114502	5.4907612800598145	55.06070327758789	46492.7890625	3.677201271057129	7948417.0	11624029.0	232490.515625	16888.15234375	9156430	26.600204467773438	0.877873957157135	0.009912434234619141	42	39	5597536991155358504	0.11587999999999998	0.99948	0.8836	0.001584893192461114	6	16	0	25000	1590953202281075407	True	True	True
545	545	42.740867614746094	3439.3046875	3764.881103515625	0.031978242099285126	130.43756103515625	58.64558410644531	225.0640411376953	221.621337890625	73.66212463378906	70.21942138671875	9.560323715209961	9.4697265625	5.57606315612793	5.4854655265808105	56.69204330444336	48767.4453125	3.2501487731933594	7885999.0	11536273.0	241161.140625	17013.9609375	9156430	26.468345642089844	0.8464111685752869	0.009912227172851562	42	42	5597536991155358504	0.10866000000000009	0.99916	0.8905	0.001584893192461114	6	16	1	25000	1590953202310181378	True	True	True
546	546	42.833717346191406	3353.237548828125	3709.4169921875	0.0299629308283329	129.451416015625	57.907142639160156	224.49278259277344	220.9849853515625	73.54606628417969	70.03826904296875	9.54529094696045	9.452980041503906	5.573009014129639	5.480698585510254	58.396968841552734	48976.87890625	2.9919650554656982	7694411.0	11367887.0	244671.4375	16757.669921875	9156430	23.989561080932617	0.7187975645065308	0.008708492736816406	42	39	5597536991155358504	0.11059999999999992	0.9994	0.8888	0.001584893192461114	6	16	2	25000	1590953240011672263	True	True	True
547	547	44.92147445678711	1810.729248046875	1992.9395751953125	0.03701659291982651	96.46804809570312	42.55266189575195	203.85009765625	200.5537109375	69.30838775634766	66.01200103759766	9.00206184387207	8.915315628051758	5.461491107940674	5.374743938446045	46.60337829589844	21118.568359375	3.160493850708008	3056215.75	4518663.0	108445.78125	9306.083984375	3585280	15.185868263244629	0.5621291399002075	0.009434207305908203	42	35	4257343411619081480	0.09711999999999998	0.99952	0.9024	0.0031622776601683794	6	10	2	25000	1590953246324575568	True	True	True
548	548	44.15788269042969	1721.9754638671875	1948.415283203125	0.036624982953071594	95.40982818603516	41.4966926574707	203.173095703125	199.86607360839844	69.14021301269531	65.83319091796875	8.984247207641602	8.89721965789795	5.457065582275391	5.3700385093688965	45.385040283203125	19560.017578125	3.160493850708008	3031916.25	4519510.0	103307.4375	9103.03515625	3585280	14.37590503692627	0.5265172719955444	0.009769740905761718	42	43	4257343411619081480	0.10394000000000003	0.99924	0.8953	0.0031622776601683794	6	10	1	25000	1590953246902940366	True	True	True
