	complexity.dist_spec_init	complexity.fro_dist	complexity.fro_over_spec	complexity.inverse_margin	complexity.l2	complexity.l2_dist	complexity.log_prod_of_fro	complexity.log_prod_of_fro_over_margin	complexity.log_prod_of_spec	complexity.log_prod_of_spec_over_margin	complexity.log_sum_of_fro	complexity.log_sum_of_fro_over_margin	complexity.log_sum_of_spec	complexity.log_sum_of_spec_over_margin	complexity.pacbayes_flatness	complexity.pacbayes_init	complexity.pacbayes_mag_flatness	complexity.pacbayes_mag_init	complexity.pacbayes_mag_orig	complexity.pacbayes_orig	complexity.param_norm	complexity.params	complexity.path_norm	complexity.path_norm_over_margin	cross_entropy	data_seed	epoch	experiment_id	gen.gap	gen.train_acc	gen.val_acc	hp.lr	hp.model_depth	hp.model_width	index	is.converged	is.high_train_accuracy	is.last_epoch	repeat_id	seed	train_dataset_size	complexity.dist_spec_init_adjusted1	complexity.fro_dist_adjusted1	complexity.fro_over_spec_adjusted1	complexity.l2_adjusted1	complexity.l2_dist_adjusted1	complexity.log_prod_of_fro_adjusted1	complexity.log_prod_of_fro_over_margin_adjusted1	complexity.log_prod_of_spec_adjusted1	complexity.log_prod_of_spec_over_margin_adjusted1	complexity.log_sum_of_fro_adjusted1	complexity.log_sum_of_fro_over_margin_adjusted1	complexity.log_sum_of_spec_adjusted1	complexity.log_sum_of_spec_over_margin_adjusted1	complexity.pacbayes_flatness_adjusted1	complexity.pacbayes_init_adjusted1	complexity.pacbayes_mag_flatness_adjusted1	complexity.pacbayes_mag_init_adjusted1	complexity.pacbayes_mag_orig_adjusted1	complexity.pacbayes_orig_adjusted1	complexity.param_norm_adjusted1	complexity.path_norm_adjusted1	complexity.path_norm_over_margin_adjusted1	complexity.path_norm_adjusted2	complexity.path_norm_over_margin_adjusted2
463	27.7531	3746.93	2717.71	0.0359484	110.511	61.2122	121.661	118.335	40.0025	36.6768	9.07878	8.91249	4.99586	4.82957	75.3071	70563.5	5.08731	3.79188e+06	4.93102e+06	229947	12212.7	3865630	294.333	10.5808	0.0096922	42	19	-8900944018555765171	0.4459	1	0.5541	0.003162	3	16	463	True	True	True	1590113891310011298	4	6250	0.066637	0.77428	0.659419	0.132973	0.0989644	0.13952	0.137599	0.0800025	0.0766048	0.0381131	0.0377624	0.0282726	0.027798	0.109769	3.36008	0.0285302	24.6313	28.0885	6.0656	1.39787	0.21701	0.0411452	2.9413e+34	382059
465	29.9008	1491.04	1420.23	0.0406514	81.3344	38.6139	139.046	135.844	46.7934	43.5907	8.60604	8.48285	5.05784	4.93466	52.0024	19405.1	3.49171	1.94612e+06	2.76499e+06	86023.3	6615.28	2205780	17.8463	0.725475	0.00846778	42	23	8705854758196026119	0.42492	0.99952	0.5746	0.01	4	10	465	True	True	True	1590113058355093759	1	6250	0.0691674	0.488433	0.476694	0.114077	0.0786017	0.149155	0.147428	0.0865271	0.0835135	0.0371075	0.036841	0.0284474	0.0280989	0.0912161	1.76205	0.0236363	17.6459	21.0333	3.70995	1.02881	0.053436	0.0107739	1.76872e+12	1.21224e-24
466	38.6292	2055.2	2141	0.035678	107.176	45.3343	181.265	177.932	61.6465	58.3133	9.13028	9.02611	5.39219	5.28803	56.692	29149.1	7.91402	7.16187e+06	1.03323e+07	162823	11486.8	7392830	15.5666	0.555385	0.00973505	42	44	6902157606496405152	0.44134	0.99904	0.5577	0.00631	5	16	466	True	True	True	1590114508793455037	4	6250	0.0786173	0.573439	0.585286	0.130951	0.0851674	0.170301	0.168728	0.0993149	0.0965926	0.038221	0.0380023	0.0293726	0.0290875	0.0952403	2.1596	0.0355843	33.8511	40.6592	5.10408	1.35569	0.0499065	0.00942664	1.47863e+12	7.02543e-35
470	45.6868	1574.88	1284.81	0.0401254	80.1491	39.6847	190.064	186.848	66.9097	63.6939	8.63926	8.55463	5.39837	5.31374	50.5679	19930.3	4.16095	2.11298e+06	2.91767e+06	81231.3	6423.88	2298230	7.88137	0.316243	0.00965038	42	64	-5160728813457670496	0.4562	0.9992	0.543	0.01	6	8	470	True	True	True	1590113463549485952	2	6250	0.0854979	0.501977	0.453398	0.113242	0.0796841	0.174385	0.172904	0.103468	0.100951	0.037179	0.0369965	0.0293894	0.0291582	0.0899492	1.78573	0.0258022	18.3869	21.6062	3.60514	1.01381	0.0355108	0.00711329	143.561	1.22171e-51
472	34.8368	1515.8	1601.39	0.0325957	82.3412	38.9332	166.887	163.463	55.9625	52.5389	8.68095	8.57397	5.21456	5.10758	53.4988	20294.1	8.36746	1.95662e+06	2.64922e+06	90702.1	6780.07	1856430	29.1054	0.948711	0.00987036	42	58	9093518227723985452	0.47252	0.99872	0.5262	0.003162	5	8	472	True	True	True	1590113565249116118	1	6250	0.0746585	0.492471	0.506184	0.114781	0.078926	0.163407	0.161722	0.0946256	0.0916855	0.0372686	0.0370383	0.0288848	0.0285869	0.0925192	1.80196	0.0365895	17.6935	20.5882	3.80951	1.04154	0.0682412	0.0123205	7.35893e+20	1.94065e-27
474	39.9348	1631.84	1803.08	0.0372909	87.6546	40.396	197.518	194.229	66.2078	62.9188	8.83543	8.74888	5.3799	5.29334	56.692	23148.8	3.87787	2.04399e+06	2.93087e+06	108917	7683.32	2298230	17.6087	0.656645	0.00942904	42	96	-1252705006775983989	0.47394	0.99984	0.5259	0.003162	6	8	474	True	True	True	1590113769159316378	1	6250	0.0799348	0.510974	0.537115	0.118426	0.080395	0.177772	0.176286	0.102924	0.100334	0.0375988	0.0374142	0.0293391	0.0291021	0.0952403	1.92453	0.024909	18.0842	21.655	4.17453	1.10875	0.0530791	0.01025	2.65344e+15	1.39552e-39
479	28.4915	4031.45	2773.83	0.0308521	109.644	63.4937	121.223	117.744	40.0679	36.5894	9.05687	8.88294	4.99913	4.8252	83.5918	84270	6.5536	2.80507e+06	3.61221e+06	251252	12021.8	2962430	774.919	23.9079	0.0092599	42	36	8472726851279803983	0.4987	1	0.5013	0.001	3	14	479	True	True	True	1590114009081310611	1	6250	0.0675177	0.803139	0.666193	0.13245	0.100792	0.139268	0.137255	0.0800679	0.0765134	0.038067	0.0376997	0.0282818	0.0277855	0.115649	3.67195	0.0323817	21.1852	24.0407	6.34037	1.3869	0.352118	0.0618487	7.53158e+42	4.59821e+12
481	34.9737	4754.11	2166.04	0.033014	105.754	68.9501	88.0467	84.6359	30.3022	26.8913	8.92811	8.68448	4.8035	4.55987	80.6845	95916.7	8.96495	2.21956e+06	2.66796e+06	225615	11184	2102030	1025.1	33.8428	0.00985473	42	91	3878930905162672824	0.4295	1	0.5705	0.001	2	16	481	True	True	True	1590114956184921962	3	6250	0.074805	0.872157	0.588699	0.130079	0.105033	0.118691	0.116369	0.0696301	0.0655943	0.0377955	0.0372762	0.0277229	0.0270107	0.11362	3.91748	0.0378734	18.8449	20.6609	6.00819	1.3377	0.404989	0.0735857	1.69782e+32	3.10236e+11
482	39.3171	2654.82	2900.19	0.0306339	107.583	51.5249	212.271	208.785	69.2088	65.7232	9.22366	9.13193	5.45887	5.36714	60.18	39962.5	4.66706	3.21774e+06	4.53339e+06	174152	11574.1	3585280	94.3909	2.89156	0.00996823	42	139	-4508936653500366188	0.49048	0.99968	0.5092	0.001	6	10	482	True	True	True	1590116045165558124	4	6250	0.0793142	0.651745	0.681198	0.131199	0.0907964	0.184292	0.182772	0.10523	0.102546	0.038416	0.0382245	0.0295537	0.0293043	0.0981264	2.52864	0.0273264	22.6901	26.9322	5.27867	1.36083	0.122892	0.0215093	1.35993e+43	4.06626e-15
483	41.1735	1918.76	2166.02	0.0372161	97.6503	43.8036	205.109	201.818	68.5572	65.2662	9.03518	8.94858	5.44172	5.35512	55.0607	26432.8	4.26223	3.17893e+06	4.61135e+06	131280	9535.58	3585280	16.5302	0.61519	0.00980446	42	84	1817495499038860681	0.46684	0.99984	0.533	0.003162	6	10	483	True	True	True	1590113786892337893	1	6250	0.081165	0.554077	0.588696	0.124996	0.0837172	0.181156	0.179697	0.104734	0.102189	0.0380214	0.0378388	0.0295072	0.0292715	0.0938601	2.05651	0.0261143	22.5528	27.1628	4.5831	1.23519	0.0514279	0.00992121	2.40292e+14	1.17091e-40
484	27.4348	3323.14	2405.64	0.0365459	103.56	57.6467	119.381	116.072	39.3728	36.0636	8.9648	8.79934	4.96437	4.79891	66.0479	54892.5	5.77804	2.96483e+06	3.83032e+06	177106	10724.6	2962430	313.419	11.4542	0.00930217	42	20	-1532375267845160861	0.4705	1	0.5295	0.003162	3	14	484	True	True	True	1590113851912787969	4	6250	0.0662538	0.729179	0.620405	0.128723	0.0960389	0.138206	0.136277	0.0793703	0.0759617	0.0378731	0.0375219	0.0281833	0.0277097	0.102799	2.96358	0.0304054	21.7801	24.7558	5.32325	1.30994	0.223935	0.0428097	1.0334e+35	1.86662e+06
485	32.4342	3216.65	1370.61	0.0336139	84.4379	56.7155	82.134	78.7412	28.6457	25.2528	8.50577	8.26343	4.68518	4.44283	68.1956	54861.2	10.24	924821	1.08861e+06	121575	7129.75	826280	992.705	33.3687	0.00894285	42	82	426248914965896853	0.4225	1	0.5775	0.001585	2	10	485	True	True	True	1590114311444441795	4	6250	0.072038	0.717401	0.468292	0.116233	0.0952601	0.114636	0.112243	0.0677002	0.0635645	0.0368907	0.0363614	0.0273793	0.0266618	0.104457	2.96273	0.0404772	12.1643	13.1976	4.41044	1.06806	0.398538	0.0730684	1.08305e+32	2.54632e+11
486	30.122	2646.98	2566.68	0.038236	108.751	51.4488	152.541	149.277	49.9329	46.669	9.12507	8.99954	5.17859	5.05306	62.0459	41079.3	3.51734	5.24106e+06	7.34233e+06	183472	11826.8	5629230	29.2857	1.11977	0.00849061	42	18	-8735883835984416639	0.42548	0.99968	0.5742	0.00631	4	16	486	True	True	True	1590113838907155119	4	6250	0.0694228	0.650782	0.640834	0.13191	0.0907293	0.156226	0.154546	0.0893827	0.086412	0.0382101	0.0379464	0.028785	0.028434	0.0996361	2.56373	0.0237229	28.9581	34.275	5.41807	1.3756	0.0684523	0.0133852	6.92552e+17	9.65508e-20
490	29.219	3423.62	2935.56	0.0331313	109.055	58.5117	152.338	148.931	49.4375	46.0302	9.11725	8.9862	5.15954	5.02849	80.6845	69079.2	5.27145	3.01314e+06	3.99791e+06	239914	11892.9	3171930	572.168	18.9567	0.00928264	42	34	1341775228232666432	0.511	1	0.489	0.001	4	12	490	True	True	True	1590113853957970007	0	6250	0.0683743	0.740121	0.685339	0.132094	0.0967568	0.156122	0.154366	0.0889382	0.0858186	0.0381937	0.0379182	0.028732	0.0283647	0.11362	3.32456	0.0290419	21.9568	25.2916	6.19566	1.37944	0.302567	0.0550733	2.52941e+51	8.49645e+12
493	29.1725	2993.39	2799.57	0.0398487	108.913	54.7119	152.816	149.593	49.5274	46.3047	9.13564	9.01169	5.163	5.03905	64	47915.1	3.76125	4.10591e+06	5.58681e+06	189815	11862.1	4313080	124.329	4.95435	0.00978044	42	23	549308750305819387	0.46278	0.99968	0.5369	0.003162	4	14	493	True	True	True	1590113939992035462	4	6250	0.0683198	0.692057	0.669277	0.132008	0.0935623	0.156367	0.154709	0.089019	0.0860741	0.0382322	0.037972	0.0287416	0.0283945	0.101193	2.76883	0.0245316	25.631	29.898	5.51093	1.37766	0.141041	0.0281549	1.46653e+34	0.00598495
494	29.2786	3388.56	2924.35	0.0342882	108.78	58.2113	152.264	148.891	49.4138	46.0409	9.11439	8.98467	5.15863	5.0289	75.3071	63816.5	5.04278	2.99439e+06	3.98332e+06	222802	11833.2	3171930	551.733	18.9179	0.00961227	42	36	1341775228232666432	0.5163	1	0.4837	0.001	4	12	494	True	True	True	1590113990922669387	1	6250	0.068444	0.736322	0.684029	0.131927	0.0965081	0.156084	0.154346	0.0889169	0.0858286	0.0381877	0.037915	0.0287294	0.0283659	0.109769	3.19541	0.028405	21.8884	25.2454	5.97062	1.37598	0.297115	0.0550169	9.82561e+50	8.05569e+12
496	29.2924	1658.33	1662.37	0.0415767	85.0051	40.7226	141.482	138.302	47.0176	43.8374	8.69972	8.5774	5.06647	4.94415	55.0607	22847.9	3.96893	2.03304e+06	2.84203e+06	99486.2	7225.88	2205780	36.0603	1.49927	0.00925198	42	22	3882904860782726600	0.44914	0.99984	0.5507	0.00631	4	10	496	True	True	True	1590167346457301928	2	6250	0.0684601	0.515105	0.515732	0.116623	0.0807194	0.150456	0.148756	0.0867342	0.0837495	0.0373089	0.0370457	0.0284717	0.0281259	0.0938601	1.91198	0.0251998	18.0357	21.3243	3.98971	1.07524	0.0759582	0.0154882	1.54942e+20	1.9067e-16
499	37.4114	2001.24	2121.31	0.0341354	106.278	44.7352	180.754	177.377	61.3101	57.9326	9.11431	9.00877	5.38168	5.27613	60.18	30129.4	5.22449	6.67921e+06	9.8678e+06	169953	11294.9	7392830	16.3408	0.557799	0.00917272	42	50	6902157606496405152	0.44172	0.99872	0.557	0.00631	5	16	499	True	True	True	1590114215855417930	3	6250	0.0773681	0.565861	0.582589	0.130401	0.0846028	0.170061	0.168465	0.0990435	0.0962768	0.0381876	0.0379658	0.029344	0.0290548	0.0981264	2.19561	0.0289123	32.6906	39.7347	5.21464	1.34432	0.0511325	0.00944711	6.98886e+12	8.07138e-35
501	32.7721	2327.65	2497.89	0.0287875	99.8573	48.2457	178.484	174.936	58.1527	54.6049	9.04336	8.93249	5.28301	5.17214	64	37263.2	10.3692	3.12282e+06	4.17261e+06	159564	9971.48	2895530	127.803	3.67912	0.0094371	42	80	4108024635023438784	0.4755	0.9992	0.5237	0.001	5	10	501	True	True	True	1590114607990515754	2	6250	0.0724123	0.610266	0.632189	0.126401	0.0878596	0.168989	0.167301	0.0964595	0.0934708	0.0380386	0.0378047	0.0290737	0.028767	0.101193	2.44174	0.0407317	22.3529	25.8383	5.05275	1.26311	0.142998	0.0242623	2.68518e+41	1.32882e-08
502	32.0655	3004.52	1290.31	0.0418563	85.065	54.8135	82.4695	79.296	28.8557	25.6822	8.52974	8.30306	4.70018	4.4735	62.0459	46625.4	7.74291	1.3358e+06	1.59567e+06	112263	7236.06	1186530	383.169	16.038	0.00987784	42	32	1796527129861811897	0.3825	1	0.6175	0.00631	2	12	502	True	True	True	1590114746230982436	3	6250	0.0716274	0.693342	0.454367	0.116664	0.0936491	0.11487	0.112638	0.0679479	0.0641027	0.0369426	0.0364485	0.0274231	0.0267537	0.0996361	2.73131	0.0351975	14.6194	15.9783	4.23817	1.076	0.247603	0.0506565	1.76453e+26	8.93854e+06
503	27.6686	2345.45	1751.43	0.0378989	90.0526	48.4298	114.693	111.42	38.3784	35.1056	8.73039	8.56675	4.91465	4.75101	60.18	35308	5.22449	2.19691e+06	2.8708e+06	122028	8109.47	2179230	128.763	4.87999	0.00798798	42	19	1509510996435988000	0.44004	0.99984	0.5598	0.00631	3	12	503	True	True	True	1590113488772207845	0	6250	0.0665355	0.612594	0.529366	0.120035	0.0880271	0.135465	0.133519	0.0783616	0.074946	0.0373746	0.0370227	0.0280418	0.027571	0.0981264	2.37682	0.0289123	18.7485	21.4319	4.41865	1.13909	0.143534	0.0279428	1.93902e+27	0.0724667
504	38.2023	1339.88	1112.05	0.0349333	74.0293	36.6044	159.934	156.58	56.1399	52.7855	8.46367	8.35885	5.22011	5.11528	50.5679	16959.5	7.03761	1.77724e+06	2.42843e+06	69303	5480.34	1856430	18.5504	0.648028	0.00981869	42	57	-6565967768306154532	0.4704	0.9984	0.528	0.01	5	8	504	True	True	True	1590113664836882914	3	6250	0.0781816	0.463013	0.421815	0.108833	0.0765291	0.159967	0.158281	0.0947754	0.0919004	0.0367993	0.0365707	0.0289001	0.0286085	0.0899492	1.64728	0.0335562	16.8629	19.7116	3.32994	0.936405	0.0544799	0.0101826	4.04544e+14	9.78726e-33
505	27.5529	3768.44	2725.24	0.0345802	110.709	61.3876	121.735	118.371	40.008	36.6435	9.0825	8.91428	4.99613	4.82791	75.3071	70968.4	4.78749	3.74104e+06	4.87812e+06	230770	12256.4	3865630	305.739	10.5725	0.00872744	42	18	-8900944018555765171	0.4599	1	0.5401	0.003162	3	16	505	True	True	True	1590113591440122010	1	6250	0.0663963	0.776499	0.660332	0.133092	0.0991061	0.139562	0.13762	0.080008	0.07657	0.0381209	0.0377662	0.0282733	0.0277933	0.109769	3.36971	0.0276767	24.4656	27.9374	6.07645	1.40037	0.221175	0.0411291	6.29183e+34	376109
507	27.7541	2105.91	2035.2	0.0394798	91.3405	45.8902	144.628	141.397	47.299	44.0671	8.82073	8.69642	5.07729	4.95298	62.0459	32686.6	4.43943	2.13034e+06	2.88708e+06	129434	8343.09	2205780	119.711	4.72616	0.00920468	42	24	2235019809354273429	0.4658	1	0.5342	0.003162	4	10	507	True	True	True	1590113413649735905	1	6250	0.0666382	0.58047	0.570642	0.12089	0.085688	0.15212	0.150411	0.0869933	0.0839687	0.0375675	0.0373018	0.028502	0.028151	0.0996361	2.28689	0.0266516	18.4622	21.4926	4.55076	1.15538	0.138397	0.0274988	5.48141e+33	0.00175641
508	33.7213	3650.5	3834.03	0.0306039	126.6	60.4194	192.392	188.905	61.9196	58.433	9.47798	9.36902	5.40072	5.29177	70.4499	64315.2	7.03761	7.46909e+06	1.01965e+07	282308	16027.7	7392830	112.409	3.44017	0.00994682	42	73	4980573621573653097	0.47998	0.99968	0.5197	0.001	5	16	508	True	True	True	1590114030366204198	0	6250	0.0734534	0.764251	0.783227	0.142324	0.0983214	0.17545	0.173853	0.0995346	0.0966917	0.038942	0.0387175	0.0293958	0.0290978	0.10617	3.20787	0.0335562	34.5696	40.3911	6.72081	1.60138	0.13411	0.0234612	4.41871e+39	1.54959e-09
513	40.8201	3685.6	3925.66	0.0283962	127.941	60.7092	224.339	220.778	72.6545	69.093	9.54125	9.44752	5.54955	5.45582	64	58990.5	3.96893	6.12666e+06	8.73442e+06	261923	16368.9	7014380	83.301	2.36543	0.00899633	42	141	-8848986184548619366	0.47288	0.99968	0.5268	0.001	6	14	513	True	True	True	1590167163236138759	3	6250	0.0808159	0.767917	0.792531	0.143075	0.0985569	0.189458	0.187948	0.107818	0.105142	0.0390717	0.0388793	0.0297981	0.0295454	0.101193	3.07221	0.0251998	31.3092	37.3832	6.47361	1.61834	0.115448	0.0194543	1.17728e+41	1.97131e-18
515	27.733	3727.94	2646.71	0.0330888	107.28	61.0568	120.59	117.182	39.8021	36.3935	9.02524	8.85482	4.98584	4.81541	80.6845	75217.7	6.11786	2.84126e+06	3.67401e+06	232172	11509.1	2962430	568.799	18.8209	0.00989567	42	28	7978339655068851090	0.4863	1	0.5137	0.001585	3	14	515	True	True	True	1590113911945235030	2	6250	0.0666129	0.772315	0.650748	0.131015	0.0988387	0.138904	0.136927	0.0798019	0.0763083	0.0380005	0.03764	0.0282442	0.0277573	0.11362	3.46913	0.0312867	21.3214	24.2454	6.09488	1.357	0.301675	0.0548757	1.55216e+40	3.84209e+10
518	27.9489	2048.76	1880.92	0.0376036	85.9686	45.2632	141.543	138.262	46.3734	43.0928	8.70205	8.57588	5.04169	4.91551	66.0479	33849.9	5.27145	1.39228e+06	1.84432e+06	122054	7390.61	1414630	347.606	13.0713	0.00981873	42	36	-3178737438246148975	0.50288	0.99968	0.4968	0.001585	4	8	518	True	True	True	1590113890635623180	4	6250	0.0668717	0.57254	0.548587	0.117282	0.0851006	0.150489	0.148734	0.0861379	0.0830352	0.0373139	0.0370424	0.0284019	0.0280443	0.102799	2.32723	0.0290419	14.9253	17.1782	4.41912	1.08743	0.235832	0.0457319	5.96589e+45	5.39132e+08
519	40.0169	1729.67	1583.79	0.0369989	95.5235	41.5893	174.087	170.79	60.703	57.4061	8.90595	8.80292	5.3627	5.25968	55.0607	23829.9	10.3692	5.52351e+06	7.8705e+06	125624	9124.75	5663730	14.9742	0.55403	0.00971495	42	49	-5083040002587004113	0.43866	0.99856	0.5599	0.01	5	14	519	True	True	True	1590113390295820407	2	6250	0.0800169	0.526068	0.503395	0.123628	0.0815738	0.166895	0.165307	0.0985519	0.0958383	0.0377485	0.0375296	0.0292922	0.0290095	0.0938601	1.95264	0.0407317	29.7281	35.4863	4.48328	1.20829	0.0489476	0.00941514	4.27225e+11	6.49719e-35
522	33.3951	2331.36	2464.47	0.0284331	99.6052	48.2841	178.384	174.824	58.2094	54.6492	9.04024	8.92899	5.28478	5.17352	64	37322.6	8.46281	3.05099e+06	4.096e+06	158760	9921.19	2895530	124.209	3.53164	0.00992472	42	98	4108024635023438784	0.49428	0.99888	0.5046	0.001	5	10	522	True	True	True	1590115217529014827	4	6250	0.0730973	0.610752	0.627945	0.126241	0.0878946	0.168942	0.167248	0.0965065	0.0935087	0.0380321	0.0377973	0.0290786	0.0287709	0.101193	2.44369	0.0367974	22.0943	25.6	5.04	1.25992	0.140973	0.023771	1.07785e+41	3.58844e-09
524	40.7152	4145.96	4428.85	0.0278348	136.439	64.3891	228.764	225.183	73.7804	70.199	9.6577	9.56346	5.57918	5.48493	68.1956	70704.9	3.76125	7.91454e+06	1.13439e+07	317394	18615.5	9156430	72.4742	2.01731	0.00967259	42	143	92221832124007338	0.4638	0.9992	0.5354	0.001	6	16	524	True	True	True	1590167165146686189	4	6250	0.080712	0.814465	0.841793	0.147751	0.1015	0.191317	0.189814	0.10865	0.10598	0.0393094	0.0391172	0.0298776	0.0296241	0.104457	3.36345	0.0245316	35.5855	42.6031	7.12622	1.72583	0.107684	0.0179658	5.93119e+38	4.65085e-21
526	28.6846	3995.95	2775.58	0.0304193	109.495	63.2135	121.207	117.714	40.0405	36.5478	9.05606	8.88143	4.99775	4.82312	86.6592	86592.4	6.89399	2.81087e+06	3.62253e+06	259761	11989.1	2962430	769.603	23.4108	0.00906509	42	35	8472726851279803983	0.5103	1	0.4897	0.001	3	14	526	True	True	True	1590114288193037677	3	6250	0.0677461	0.799595	0.666403	0.13236	0.100569	0.139259	0.137238	0.0800405	0.0764699	0.0380653	0.0376965	0.0282779	0.0277795	0.117752	3.7222	0.033212	21.2071	24.075	6.44684	1.38501	0.350908	0.0612024	6.56289e+42	3.02054e+12
527	35.6967	2296.11	2514.28	0.0290787	107.762	47.9177	182.338	178.8	60.3305	56.7928	9.16379	9.05323	5.35107	5.24051	56.692	32563.5	5.67104	5.54499e+06	7.83341e+06	164607	11612.7	5663730	19.8724	0.577862	0.00980142	42	57	7217791444773154338	0.44986	0.99856	0.5487	0.003162	5	14	527	True	True	True	1590114065608822830	2	6250	0.0755743	0.606117	0.634259	0.131308	0.0875604	0.170804	0.169139	0.0982491	0.095325	0.0382911	0.0380594	0.0292604	0.0289565	0.0952403	2.28258	0.0301225	29.7859	35.4026	5.13197	1.3631	0.0563878	0.0096155	3.6616e+15	2.50053e-34
528	40.2872	2009.88	2168.56	0.0323578	93.6457	44.8316	202.215	198.784	66.9857	63.5548	8.95904	8.86876	5.40037	5.31008	55.0607	27687	4.33181	2.07027e+06	2.91364e+06	120735	8769.52	2298230	52.2973	1.69223	0.00966945	42	112	-5226700891785418501	0.47502	0.99952	0.5245	0.001585	6	8	528	True	True	True	1590115276762516464	4	6250	0.0802867	0.567081	0.589041	0.122406	0.0846939	0.179873	0.178341	0.103526	0.10084	0.0378609	0.0376696	0.0293949	0.0291481	0.0938601	2.10474	0.0263266	18.2001	21.5913	4.39518	1.18454	0.0914744	0.0164547	2.44559e+33	5.85637e-24
530	40.5462	3517.1	3989.48	0.0303816	131.312	59.3052	226.111	222.618	73.3365	69.8426	9.58789	9.49594	5.56749	5.47555	64	56294.5	3.51734	7.754e+06	1.13837e+07	275907	17242.9	9156430	31.8435	0.967458	0.00984797	42	105	-8481762122677257250	0.45918	0.99968	0.5405	0.001585	6	16	530	True	True	True	1590114345156426859	1	6250	0.0805443	0.750157	0.798947	0.144948	0.0974106	0.190205	0.18873	0.108323	0.105711	0.0391671	0.0389788	0.0298462	0.0295988	0.101193	3.00119	0.0237229	35.2227	42.6778	6.64418	1.66098	0.071379	0.0124416	1.58841e+25	3.4689e-33
533	29.1571	3095.14	2772.36	0.0368633	106.195	55.634	151.438	148.137	49.2079	45.9073	9.08264	8.95569	5.15071	5.02376	70.4499	54534	5.22449	3.09018e+06	4.11265e+06	198644	11277.4	3171930	374.139	13.792	0.00976185	42	26	-9131364150256582685	0.4829	1	0.5171	0.001585	4	12	533	True	True	True	1590113960491922198	2	6250	0.0683018	0.70372	0.666016	0.13035	0.0943474	0.15566	0.153954	0.0887314	0.085704	0.0381212	0.0378538	0.0287074	0.0283514	0.10617	2.95389	0.0289123	22.2358	25.652	5.63764	1.34327	0.244668	0.0469757	4.03891e+46	2.17628e+09
534	32.5737	4129.01	1923.94	0.0367467	101.106	64.2574	86.9336	83.6299	29.9278	26.6241	8.8486	8.61262	4.77675	4.54078	75.3071	77756.8	8.18152	2.28814e+06	2.7633e+06	192477	10222.5	2102030	620.335	22.7952	0.00989091	42	39	-5731590468595689123	0.401	1	0.599	0.003162	2	16	534	True	True	True	1590114038759575007	4	6250	0.0721927	0.812799	0.554825	0.127189	0.101396	0.117938	0.115675	0.0691986	0.0652676	0.0376268	0.0371217	0.0276456	0.0269541	0.109769	3.52719	0.0361807	19.1338	21.0268	5.54944	1.27891	0.315045	0.0603923	1.49945e+29	1.22736e+09
535	27.1325	2812.92	2064.45	0.0350767	95.384	53.037	116.567	113.217	38.6505	35.3002	8.82407	8.65656	4.92826	4.76075	70.4499	49563.3	5.83268	2.19246e+06	2.83014e+06	160261	9098.11	2179230	311.495	10.9262	0.00851827	42	23	8552722761693282105	0.4626	1	0.5374	0.003162	3	12	535	True	True	True	1590113881235376880	4	6250	0.0658878	0.67087	0.574728	0.123537	0.0921191	0.136568	0.134591	0.0786389	0.0751534	0.0375746	0.0372163	0.0280806	0.0275993	0.10617	2.81605	0.0305488	18.7295	21.2796	5.06377	1.20652	0.223247	0.0418114	9.13654e+34	726345
537	33.5777	2937.83	1165.59	0.0359458	78.0572	54.2018	79.8549	76.5291	28.107	24.7812	8.34298	8.10542	4.6467	4.40915	70.4499	51763.4	12.1312	609869	706257	107332	6092.93	531030	1301.6	46.787	0.00995057	42	131	2870264491309729402	0.4355	1	0.5645	0.001	2	8	537	True	True	True	1590114439878943847	2	6250	0.0732969	0.685604	0.43185	0.111755	0.0931251	0.113034	0.110656	0.0670606	0.0629682	0.036536	0.036012	0.0272667	0.0265606	0.10617	2.87787	0.0440567	9.87821	10.6302	4.14405	0.987354	0.456351	0.0865212	4.80673e+33	2.89012e+13
539	32.3514	2851.74	1158.06	0.0356222	77.3643	53.4017	79.7186	76.3838	27.9894	24.6546	8.33324	8.09504	4.6383	4.4001	68.1956	48639.9	12.1312	607938	705900	102063	5985.24	531030	1222.08	43.5334	0.00984795	42	130	2870264491309729402	0.4376	1	0.5624	0.001	2	8	539	True	True	True	1590113855625517495	0	6250	0.071946	0.675484	0.430453	0.111258	0.0924352	0.112938	0.11055	0.0669201	0.0628071	0.0365146	0.035989	0.027242	0.0265333	0.104457	2.78969	0.0440567	9.86256	10.6275	4.04105	0.97859	0.442191	0.0834586	1.98865e+33	1.05361e+13
543	28.3499	3111.5	2302.14	0.0387789	104.583	55.7808	119.749	116.5	39.733	36.4831	8.9832	8.82071	4.98238	4.81989	66.0479	51397.8	4.82868	3.88346e+06	5.09536e+06	180623	10937.6	3865630	118.908	4.61113	0.00887726	42	15	-5623405005145988537	0.43794	0.99984	0.5619	0.00631	3	16	543	True	True	True	1590113626741289971	3	6250	0.0673497	0.705578	0.606912	0.129357	0.0944718	0.138419	0.136528	0.0797326	0.0764022	0.0379119	0.0375675	0.0282344	0.0277702	0.102799	2.86769	0.0277955	24.927	28.5527	5.37584	1.32288	0.137932	0.0271621	3.94441e+26	0.0233296
