	complexity.dist_spec_init	complexity.fro_dist	complexity.fro_over_spec	complexity.inverse_margin	complexity.l2	complexity.l2_dist	complexity.log_prod_of_fro	complexity.log_prod_of_fro_over_margin	complexity.log_prod_of_spec	complexity.log_prod_of_spec_over_margin	complexity.log_sum_of_fro	complexity.log_sum_of_fro_over_margin	complexity.log_sum_of_spec	complexity.log_sum_of_spec_over_margin	complexity.pacbayes_flatness	complexity.pacbayes_init	complexity.pacbayes_mag_flatness	complexity.pacbayes_mag_init	complexity.pacbayes_mag_orig	complexity.pacbayes_orig	complexity.param_norm	complexity.params	complexity.path_norm	complexity.path_norm_over_margin	cross_entropy	data_seed	epoch	experiment_id	gen.gap	gen.train_acc	gen.val_acc	hp.lr	hp.model_depth	hp.model_width	index	is.converged	is.high_train_accuracy	is.last_epoch	repeat_id	seed	train_dataset_size	complexity.dist_spec_init_adjusted1	complexity.fro_dist_adjusted1	complexity.fro_over_spec_adjusted1	complexity.l2_adjusted1	complexity.l2_dist_adjusted1	complexity.log_prod_of_fro_adjusted1	complexity.log_prod_of_fro_over_margin_adjusted1	complexity.log_prod_of_spec_adjusted1	complexity.log_prod_of_spec_over_margin_adjusted1	complexity.log_sum_of_fro_adjusted1	complexity.log_sum_of_fro_over_margin_adjusted1	complexity.log_sum_of_spec_adjusted1	complexity.log_sum_of_spec_over_margin_adjusted1	complexity.pacbayes_flatness_adjusted1	complexity.pacbayes_init_adjusted1	complexity.pacbayes_mag_flatness_adjusted1	complexity.pacbayes_mag_init_adjusted1	complexity.pacbayes_mag_orig_adjusted1	complexity.pacbayes_orig_adjusted1	complexity.param_norm_adjusted1	complexity.path_norm_adjusted1	complexity.path_norm_over_margin_adjusted1	complexity.path_norm_adjusted2	complexity.path_norm_over_margin_adjusted2
251	33.6255	2426.69	1399.09	0.0462474	80.3027	49.2614	110.781	107.707	37.8368	34.763	8.53479	8.3811	4.88757	4.73388	80.6845	48972.1	9.28798	1.07206e+06	1.30881e+06	130097	6448.53	972830	706.419	32.6701	0.00924266	42	30	-3289238580898524999	0.28174	0.99994	0.7182	0.001	3	8	251	True	True	True	1590101385364231037	3	50000	0.0259328	0.220304	0.167278	0.0400756	0.0313883	0.0470704	0.0464127	0.0275088	0.0263678	0.0130651	0.0129469	0.00988693	0.00973024	0.0401708	0.989668	0.0136294	4.63046	5.11627	1.61305	0.359125	0.118863	0.0255617	4.18276e+41	8.37962e+14
252	33.9548	2477.07	1400.32	0.0456251	80.5295	49.7702	110.843	107.756	37.8482	34.7609	8.53788	8.38352	4.88814	4.73378	83.5918	51788.8	9.74658	1.09042e+06	1.32356e+06	135546	6485.01	972830	736.791	33.6161	0.0091013	42	30	-3289238580898524999	0.2709	1	0.7291	0.001	3	8	252	True	True	True	1590101387979150463	0	50000	0.0260595	0.222579	0.167351	0.0401322	0.03155	0.0470835	0.0464233	0.027513	0.026367	0.0130674	0.0129488	0.00988751	0.00973014	0.0408881	1.01773	0.0139618	4.66995	5.14502	1.64649	0.360139	0.121391	0.0259292	9.70736e+41	1.48307e+15
253	33.6378	2439.68	1398.09	0.0456236	80.3401	49.3932	110.79	107.703	37.8257	34.7383	8.53525	8.38088	4.88702	4.73265	83.5918	51007.4	8.96495	1.06851e+06	1.3042e+06	134910	6454.53	972830	733.17	33.4499	0.00903846	42	30	-3289238580898524999	0.2797	1	0.7203	0.001	3	8	253	True	True	True	1590101388931893064	2	50000	0.0259375	0.220893	0.167218	0.0400849	0.0314303	0.0470723	0.0464119	0.0275048	0.0263584	0.0130654	0.0129467	0.00988637	0.00972898	0.0408881	1.01002	0.0133903	4.62279	5.10725	1.64262	0.359292	0.121093	0.025865	8.79648e+41	1.34311e+15
254	34.0187	2814.36	1672.01	0.0461941	88.8312	53.0506	114.576	111.501	38.941	35.8661	8.72453	8.57078	4.94278	4.78904	93.3229	65684.2	9.51314	1.6817e+06	2.07116e+06	184126	7890.99	1516030	632.431	29.2146	0.00945207	42	25	1431015604604656172	0.2737	1	0.7263	0.001	3	10	254	True	True	True	1590101390648424243	2	50000	0.026084	0.237249	0.182867	0.04215	0.0325732	0.0478698	0.0472231	0.0279073	0.0267829	0.0132095	0.0130926	0.00994262	0.00978677	0.0432025	1.14616	0.0137936	5.79948	6.43609	1.91899	0.397265	0.112466	0.0241721	4.57592e+40	8.95806e+13
255	33.6286	2454.71	1404.72	0.0474408	80.4356	49.5451	110.835	107.787	37.8132	34.7649	8.53751	8.38509	4.88639	4.73398	80.6845	49537.3	10.24	1.09466e+06	1.32943e+06	130528	6469.89	972830	732.107	34.7317	0.00974203	42	31	-3289238580898524999	0.28318	0.99998	0.7168	0.001	3	8	255	True	True	True	1590101392628459460	1	50000	0.025934	0.221572	0.167614	0.0401088	0.0314786	0.0470818	0.0464299	0.0275003	0.0263685	0.0130671	0.01295	0.00988574	0.00973034	0.0401708	0.995362	0.0143108	4.67902	5.15641	1.61572	0.359719	0.121005	0.0263559	8.54489e+41	2.84928e+15
256	33.1906	2817.27	1698.79	0.0459938	88.8897	53.078	114.561	111.482	38.7733	35.6941	8.72379	8.56983	4.9344	4.78044	83.5918	58898.2	9.39955	1.68333e+06	2.0729e+06	165146	7901.38	1516030	624.105	28.7049	0.00965461	42	25	1431015604604656172	0.2705	1	0.7295	0.001	3	10	256	True	True	True	1590101396311802205	0	50000	0.0257645	0.237372	0.184325	0.0421639	0.0325816	0.0478667	0.0472191	0.0278472	0.0267186	0.0132089	0.0130919	0.00993418	0.00977798	0.0408881	1.08534	0.013711	5.80229	6.43879	1.81739	0.397527	0.111723	0.0239603	3.51049e+40	6.29993e+13
257	33.5178	2458.22	1404.93	0.0477771	80.4484	49.5804	110.837	107.796	37.828	34.7868	8.5376	8.38554	4.88713	4.73507	86.6592	53279.9	8.96495	1.069e+06	1.30351e+06	140236	6471.94	972830	735.962	35.1622	0.00997929	42	30	-3289238580898524999	0.28128	0.99998	0.7187	0.001	3	8	257	True	True	True	1590101400091546720	4	50000	0.0258912	0.22173	0.167626	0.0401119	0.0314898	0.0470823	0.0464319	0.0275056	0.0263768	0.0130672	0.0129503	0.00988649	0.00973146	0.0416315	1.03228	0.0133903	4.62385	5.1059	1.67473	0.359776	0.121323	0.0265187	9.49124e+41	3.64532e+15
258	33.8067	2888.02	1699.35	0.0449021	89.4841	53.7403	114.675	111.572	38.8877	35.7844	8.7295	8.57434	4.94012	4.78495	86.6592	62591.3	9.28798	1.68555e+06	2.0708e+06	173502	8007.41	1516030	656.899	29.4961	0.00915356	42	25	1431015604604656172	0.2736	1	0.7264	0.001	3	10	258	True	True	True	1590101400249573581	3	50000	0.0260026	0.240334	0.184356	0.0423046	0.0327842	0.0478905	0.0472381	0.0278882	0.0267523	0.0132133	0.0130953	0.00993994	0.00978259	0.0416315	1.11885	0.0136294	5.80612	6.43553	1.8628	0.400185	0.114621	0.0242883	9.77658e+40	1.08519e+14
259	32.9624	2814.27	1703.25	0.0465842	88.9905	53.0496	114.585	111.518	38.7856	35.7191	8.72496	8.57164	4.93501	4.78169	86.6592	60993.5	8.75886	1.65887e+06	2.0497e+06	171593	7919.3	1516030	619.1	28.8403	0.00988771	42	25	1431015604604656172	0.26908	0.99998	0.7309	0.001	3	10	259	True	True	True	1590101411080901604	4	50000	0.0256758	0.237245	0.184567	0.0421878	0.0325729	0.0478717	0.0472267	0.0278516	0.0267279	0.0132098	0.0130932	0.0099348	0.00977925	0.0416315	1.10448	0.0132355	5.75998	6.40266	1.85253	0.397977	0.111274	0.0240168	2.98835e+40	6.92166e+13
260	33.1388	3224.02	2007.86	0.044696	97.011	56.7805	117.769	114.661	39.617	36.5091	8.88416	8.72877	4.97658	4.82119	96.9467	78162.7	7.49647	2.32093e+06	2.9029e+06	228118	9411.13	2179230	588.37	26.2978	0.00991117	42	21	8367785231019122894	0.27406	0.99996	0.7259	0.001	3	12	260	True	True	True	1590101419348869159	1	50000	0.0257444	0.25393	0.200393	0.0440479	0.0336988	0.0485323	0.0478876	0.0281485	0.0270219	0.0133298	0.0132127	0.00997655	0.00981956	0.0440333	1.2503	0.0122446	6.81312	7.61958	2.13597	0.433846	0.108478	0.0229337	1.07951e+40	1.09296e+13
