	index	hp.lr	hp.model_width	hp.model_depth	complexity.l2	complexity.l2_dist	complexity.log_prod_of_fro	complexity.log_sum_of_fro	complexity.param_norm	complexity.path_norm	complexity.params	complexity.log_prod_of_spec	complexity.log_sum_of_spec	complexity.fro_dist	complexity.fro_over_spec	complexity.dist_spec_init	complexity.pacbayes_orig	complexity.pacbayes_init	complexity.pacbayes_flatness	complexity.pacbayes_mag_orig	complexity.pacbayes_mag_init	complexity.pacbayes_mag_flatness	complexity.inverse_margin	complexity.log_prod_of_fro_over_margin	complexity.log_sum_of_fro_over_margin	complexity.log_prod_of_spec_over_margin	complexity.log_sum_of_spec_over_margin	complexity.path_norm_over_margin	experiment_id	cross_entropy	data_seed	seed	train_dataset_size	epoch	gen.gap	gen.val_acc	gen.train_acc	repeat_id	is.last_epoch	is.converged	is.high_train_accuracy
312	312	0.00631	12	4	91.794	44.7593	145.022	8.83588	8426.14	28.095	3171930	48.6188	5.12805	2003.39	1771.24	32.3977	126793	30162.5	60.18	4.1204e+06	2.98465e+06	4.55111	0.0435636	141.889	8.71536	45.4853	5.00753	1.22392	8799905969568142923	0.00947224	42	1	12500	20	0.36178	0.6379	0.99968	1590114561424216103	True	True	True
313	313	0.00631	14	5	100.487	45.0989	177.572	9.01485	10097.7	14.1923	5663730	61.1351	5.37621	2033.91	1840.28	40.8939	151941	30621.6	60.18	7.39371e+06	5.13169e+06	4.70669	0.0381341	174.305	8.91277	57.8685	5.27412	0.541212	-3470121482614085118	0.00941877	42	2	12500	34	0.35112	0.6476	0.99872	1590115184040143044	True	True	True
314	314	0.00631	16	2	96.516	62.3775	85.4762	8.7445	9315.34	311.519	2102030	30.2197	4.79761	3890.96	1453.42	36.2186	169602	70854.2	72.8178	2.98952e+06	2.53195e+06	10.24	0.0446059	82.3663	8.52237	27.1098	4.57547	13.8956	-1527731969814682931	0.00947847	42	4	12500	25	0.3314	0.6686	1	1590115184039480582	True	True	True
316	316	0.003162	14	6	114.35	50.4696	215.767	9.31568	13076	12.2871	7014380	72.4045	5.54297	2547.18	2675.8	45.2837	202849	39532	62.0459	9.01226e+06	6.15201e+06	4	0.0387323	212.516	9.23012	69.1534	5.45741	0.475908	-1831960413689477244	0.00985829	42	1	12500	63	0.36528	0.6344	0.99968	1590115236800758213	True	True	True
318	318	0.00631	12	3	88.1966	48.093	114.048	8.69816	7778.64	102.389	2179230	38.681	4.92978	2312.94	1579.85	29.8861	128462	38212.7	66.0479	2.90578e+06	2.24695e+06	5.83268	0.0459851	110.969	8.54418	35.6015	4.77581	4.70835	1509510996435988000	0.00929501	42	4	12500	16	0.3656	0.6344	1	1590114852897777003	True	True	True
323	323	0.01	14	3	90.8012	48.22	114.812	8.73634	8244.85	46.6816	2962430	39.4291	4.96719	2325.17	1510.29	31.2876	140587	39663.1	68.1956	3.92861e+06	2.99372e+06	5.22449	0.0472798	111.76	8.58376	36.3775	4.81461	2.2071	-5125843615822465566	0.00954075	42	4	12500	16	0.3448	0.6552	1	1590114711799651728	True	True	True
325	325	0.00631	10	4	83.9843	42.0275	140.999	8.68113	7053.37	32.4728	2205780	47.5026	5.08512	1766.31	1525.77	32.1308	102995	25808.2	58.397	2.78935e+06	2.02831e+06	4.12799	0.0446745	137.891	8.56158	44.3942	4.96557	1.45071	3882904860782726600	0.00978332	42	2	12500	21	0.35934	0.6401	0.99944	1590114505625191080	True	True	True
332	332	0.00631	14	6	106.371	46.8914	209.845	9.15983	11314.8	7.86654	7014380	72.5383	5.54649	2198.8	2043.35	47.3623	165209	32122.3	58.397	9.02159e+06	6.15762e+06	4	0.0377052	206.568	9.07357	69.2604	5.46023	0.29661	-127866482121014666	0.00790639	42	1	12500	56	0.36694	0.6325	0.99944	1590114935559714405	True	True	True
333	333	0.01	12	6	96.0784	45.6964	201.749	8.94678	9231.07	6.18689	5157330	71.2766	5.51329	2088.16	1581.23	49.3019	123484	27949.9	53.4988	6.57141e+06	4.66109e+06	4.26223	0.042701	198.596	8.86379	68.1231	5.4303	0.264186	-2784644901043528648	0.00991274	42	3	12500	53	0.35654	0.6425	0.99904	1590115544671854769	True	True	True
334	334	0.00631	10	4	84.0807	42.0891	140.959	8.6796	7069.57	32.7401	2205780	47.4326	5.08243	1771.5	1528.46	31.6828	106383	26673.6	60.18	2.77991e+06	2.01922e+06	4	0.0428316	137.809	8.55843	44.2822	4.96126	1.40231	3882904860782726600	0.00977913	42	4	12500	22	0.36342	0.6361	0.99952	1590114781381683149	True	True	True
336	336	0.00631	16	5	107.386	48.017	181.131	9.12609	11531.7	16.0639	7392830	62.2215	5.41016	2305.63	2032.85	41.7515	178895	35785.3	62.0459	9.91197e+06	6.94572e+06	6.00133	0.0320227	177.69	9.01855	58.7801	5.30262	0.514409	6902157606496405152	0.00815769	42	1	12500	38	0.35344	0.6452	0.99864	1590114790615380508	True	True	True
337	337	0.001585	10	4	95.1087	50.0242	146.592	8.89627	9045.66	300.964	2205780	48.019	5.10498	2502.42	2196.58	30.0772	154240	42685.1	68.1956	2.90406e+06	2.19767e+06	5.4162	0.0388346	143.344	8.77133	44.7705	4.98004	11.6878	828852094380295083	0.00863137	42	4	12500	24	0.39972	0.6002	0.99992	1590115632341767465	True	True	True
