,name,lr,rex,bias,optim,steps,dataset,datafile,datasize,exp_type,env_split,wandb_tag,weight_init,actual_measure,only_bias__ignore_input,selected_single_measure,nonnegative_weights_only,_step,_runtime,train_mse,rex_penalty,irmv1_penalty,bias,robustness_penalty,loss,risk_max,risk_min,_timestamp,risk_range,risk_argmax,weight_grad,weight,bias_grad
10,crimson-sponge-346,0.002,False,True,sgdm,500,,nin.cifar10_svhn,,v3,all,sep24_v3,0.001,complexity.log_sum_of_spec_fft,False,log_sum_of_spec,True,499,1196,0.014884797856211662,1.2785159015038516e-05,0.0009113795240409672,0.20100554823875427,0.0010358633007854223,0.0010358633007854223,0.021753130480647087,0.007862105034291744,1601045358,0.013891025446355345,3,-0.008405927568674088,0.07963436096906662,-0.006396061275154352
11,balmy-monkey-345,0.002,False,True,sgdm,500,,nin.cifar10_svhn,,v3,all,sep24_v3,0.001,complexity.param_norm,False,param_norm,True,499,1196,0.015480046160519125,1.4722856576554476e-05,0.0009335395880043508,0.20072565972805023,0.001070339814759791,0.001070339814759791,0.022477135062217712,0.007922039367258549,1601045358,0.014555095694959164,3,-0.0072487518191337585,0.07635955512523651,-0.006440551485866308
12,stoic-frog-346,0.01,False,True,sgdm,500,,nin.cifar10_svhn,,v3,all,sep24_v3,0.001,complexity.path_norm,True,path_norm,True,499,1196,0.017010007053613663,1.2238242561579682e-05,0.0008588753407821059,0.2912842929363251,0.001153495511971414,0.001153495511971414,0.024223405867815018,0.009993690066039562,1601045358,0.014229715801775455,5,0.0,0.0010000000474974513,0.009029381908476353
13,usual-spaceship-340,0.002,False,True,sgdm,500,,nin.cifar10_svhn,,v3,lr,sep24_v3,0.001,complexity.log_sum_of_spec_fft,False,log_sum_of_spec,True,499,397,0.010938375256955624,1.325036862453999e-07,0.0004211243358440697,0.2938717305660248,0.0022735646925866604,0.0022735646925866604,0.01136782392859459,0.010461479425430298,1601044558,0.0009063445031642914,1,-0.00044826455996371806,0.0856534019112587,-0.0016922239447012544
14,cerulean-cloud-340,0.002,False,True,sgdm,500,,nin.cifar10_svhn,,v3,width,sep24_v3,0.001,complexity.param_norm,False,param_norm,True,499,385,0.010884622111916542,1.5909699868643656e-07,0.00012250125291757286,0.27183282375335693,0.002261319663375616,0.002261319663375616,0.011306597851216791,0.010433889925479887,1601044546,0.0008727079257369041,3,0.003411120269447565,0.06782940775156021,0.011314447969198229
15,vivid-wildflower-340,0.002,False,True,sgdm,500,,nin.cifar10_svhn,,v3,lr,sep24_v3,0.001,complexity.param_norm,False,param_norm,True,499,375,0.010790040716528893,4.093205916433362e-06,8.450739187537692e-06,0.27074605226516724,0.0026995681691914797,0.0026995681691914797,0.013497840613126756,0.008681376464664936,1601044536,0.004816464148461819,1,0.0010250499472022057,0.0734277293086052,-0.0018988375086337328
16,volcanic-morning-340,0.002,False,True,sgdm,500,,nin.cifar10_svhn,,v3,width,sep24_v3,0.001,complexity.log_sum_of_spec_fft,False,log_sum_of_spec,True,499,385,0.010272796265780926,1.2336192511952504e-08,6.663524345640326e-06,0.27002403140068054,0.0020775264129042625,0.0020775264129042625,0.010387632064521313,0.010164128616452215,1601044546,0.0002235034480690956,3,0.0008341246866621077,0.07842747867107391,0.0028900657780468464
17,eager-water-340,0.01,False,True,sgdm,500,,nin.cifar10_svhn,,v3,lr,sep24_v3,0.001,complexity.path_norm,True,path_norm,True,499,382,0.017283573746681213,2.00255703930452e-06,0.0004138144140597433,0.29745057225227356,0.003844143357127905,0.003844143357127905,0.019220717251300812,0.0155398678034544,1601044543,0.0036808494478464127,1,0.0,0.0010000000474974513,8.077211077761605e-08
18,giddy-thunder-339,0.01,False,True,sgdm,500,,nin.cifar10_svhn,,v3,train_size,sep24_v3,0.001,complexity.path_norm,True,path_norm,True,499,196,0.017986595630645752,1.9726552636711855e-05,0.002432595705613494,0.30757880210876465,0.005487561691552401,0.005487561691552401,0.0219502467662096,0.013741576112806795,1600988470,0.008208670653402805,3,0.0,0.0010000000474974513,-0.03047548234462738
19,generous-butterfly-338,0.01,False,True,sgdm,500,,nin.cifar10_svhn,,v3,train_size,sep24_v3,0.001,complexity.dist_spec_init_fft,False,dist_spec_init,True,499,213,0.015136782079935074,3.5513335205905605e-06,0.001700132037512958,0.32476213574409485,0.004314121324568987,0.004314121324568987,0.017256485298275948,0.013400031253695488,1600988470,0.003856454044580459,3,0.0007827302906662226,0.04138026386499405,-0.0011276029981672764
