,name,lr,rex,bias,optim,steps,dataset,datafile,datasize,exp_type,env_split,wandb_tag,weight_init,actual_measure,only_bias__ignore_input,selected_single_measure,nonnegative_weights_only,risk_max,risk_min,bias_grad,_timestamp,weight_grad,irmv1_penalty,loss,_step,_runtime,risk_argmax,robustness_penalty,bias,weight,train_mse,risk_range,rex_penalty
11,spring-meadow-12,1,False,True,sgdm,500,,nin.cifar10_svhn,,v1,all,sep24_v1,0.001,complexity.log_sum_of_spec_fft,False,log_sum_of_spec,True,0.047429654747247696,1.617973975953646e-05,0.0004351140814833343,1600960723,0.0007137225475162268,0.003324910532683134,4.742965393234044e-05,499,247,504,4.742965393234044e-05,0.21031729876995087,0.09966342896223068,0.014095844700932504,0.04741347581148147,0.00013609716552309692
12,restful-brook-10,1,False,True,sgdm,500,,nin.cifar10_svhn,,v1,all,sep24_v1,0.001,complexity.log_sum_of_spec_over_margin_fft,False,log_sum_of_spec_over_margin,True,0.05347491428256035,7.264233772730222e-06,-0.0004622034321073442,1600960718,-0.0007384269847534597,0.006011775694787502,5.3474916057894006e-05,499,248,760,5.3474916057894006e-05,0.3150880038738251,0.040876954793930054,0.01460382528603077,0.05346764996647835,0.00023059805971570313
13,giddy-meadow-10,1,False,True,sgdm,500,,nin.cifar10_svhn,,v1,all,sep24_v1,0.001,complexity.pacbayes_flatness,False,pacbayes_flatness,True,0.03649172559380531,3.395623207325116e-05,0.0003819757839664817,1600960745,0.0005807034904137254,0.0030369835440069437,3.6491725040832534e-05,499,275,695,3.6491725040832534e-05,0.2373877465724945,0.09137756377458572,0.010179156437516212,0.03645776957273483,5.528784458874725e-05
14,olive-galaxy-9,1,False,True,sgdm,500,,nin.cifar10_svhn,,v1,all,sep24_v1,0.001,complexity.pacbayes_init,False,pacbayes_init,True,0.036384835839271545,6.109617061156314e-06,0.0003812605864368379,1600960734,0.0006123169441707432,0.004495797213166952,3.638483758550137e-05,499,265,580,3.638483758550137e-05,0.30493736267089844,0.03942070156335831,0.012486431747674942,0.03637872636318207,0.0001257768162759021
15,treasured-tree-8,1,False,True,sgdm,500,,nin.cifar10_svhn,,v1,all,sep24_v1,0.001,complexity.path_norm_over_margin,False,path_norm_over_margin,True,0.04163920134305954,1.3111393855069764e-05,-0.00040798663394525647,1600960481,0.00012163315841462464,0.004865777213126421,4.16392031183932e-05,499,277,450,4.16392031183932e-05,0.29916176199913025,0.038757145404815674,0.01435928139835596,0.041626088321208954,0.00016420020256191492
16,vivid-firefly-7,1,False,True,sgdm,500,,nin.cifar10_svhn,,v1,all,sep24_v1,0.001,complexity.pacbayes_mag_init,False,pacbayes_mag_init,True,0.06636325269937515,1.2568209967867006e-05,0.0005150242941454053,1600960468,-0.00023123162100091577,0.009551308117806911,6.636325269937515e-05,499,264,720,6.636325269937515e-05,0.33649101853370667,0.016334716230630875,0.02084271609783173,0.06635068356990814,0.0004427502572070807
17,rose-darkness-3,1,False,True,sgdm,500,,nin.cifar10_svhn,,v1,all,sep24_v1,0.001,complexity.pacbayes_orig,False,pacbayes_orig,True,0.046595580875873566,9.59528551902622e-06,0.0004315233090892434,1600960453,0.000986310071311891,0.00609241658821702,4.659558180719614e-05,499,249,580,4.659558180719614e-05,0.32072076201438904,0.03172808885574341,0.01512510236352682,0.04658598452806473,0.0002212932449765503
18,crisp-bush-3,1,False,True,sgdm,500,,nin.cifar10_svhn,,v1,all,sep24_v1,0.001,complexity.param_norm,False,param_norm,True,0.04877067729830742,6.223182026587892e-06,-0.0004415244329720735,1600960460,-0.000796090520452708,0.006919683888554573,4.8770678404252976e-05,499,256,631,4.8770678404252976e-05,0.32480520009994507,0.027603648602962497,0.016583696007728577,0.04876445233821869,0.0002712248242460191
19,stellar-eon-5,1,False,True,sgdm,500,,nin.cifar10_svhn,,v1,all,sep24_v1,0.001,complexity.pacbayes_mag_orig,False,pacbayes_mag_orig,True,0.06685817241668701,1.3635886716656389e-05,-0.0005170208751223981,1600960467,-0.0002437197108520195,0.009620951488614082,6.685817061224952e-05,499,263,710,6.685817061224952e-05,0.3376133143901825,0.016526175662875175,0.020934509113430977,0.06684453785419464,0.0004488493432290852
20,crisp-haze-3,1,False,True,sgdm,500,,nin.cifar10_svhn,,v1,all,sep24_v1,0.001,complexity.log_spec_orig_main_fft,False,log_spec_orig_main,True,0.0726235955953598,2.8011625090584857e-06,-0.0005387262790463865,1600960482,0.0006090475944802165,0.009910184890031816,7.262359576998278e-05,499,278,760,7.262359576998278e-05,0.33815664052963257,0.0,0.02173662930727005,0.07262079417705536,0.0004550173471216112
