,name,lr,rex,bias,optim,steps,dataset,datafile,datasize,exp_type,env_split,wandb_tag,weight_init,actual_measure,only_bias__ignore_input,selected_single_measure,nonnegative_weights_only,bias,loss,_step,weight,_runtime,risk_max,risk_min,bias_grad,train_mse,_timestamp,risk_range,rex_penalty,risk_argmax,weight_grad,irmv1_penalty,robustness_penalty
10,sweet-shadow-6431,1,False,True,sgdm,500,,nin_adjusted,,v1,all,june10_v1,0.001,complexity.path_norm_adjusted1,False,path_norm,True,0.2976658344268799,3.893344910466112e-05,499,0.03643108531832695,348.23321771621704,0.03893344849348068,5.828263056173455e-06,0.0003943503543268889,0.013447534292936323,1591800779.864453,0.03892761841416359,0.00014503762940876186,971,-0.0003543302300386131,0.0045346603728830814,3.893344910466112e-05
11,copper-vortex-6430,1,False,True,sgdm,500,,nin_adjusted,,v1,all,june10_v1,0.001,complexity.pacbayes_mag_flatness_adjusted1,False,pacbayes_mag_flatness,True,0.2733646631240845,2.704899998207111e-05,499,0.09291379898786543,347.2953984737396,0.02704899944365025,2.619412771309726e-05,0.00032788212411105633,0.007887987419962883,1591800778.9268978,0.02702280506491661,3.820405254373327e-05,596,8.596065890742466e-05,0.002413391368463635,2.704899998207111e-05
12,glamorous-hill-6431,1,False,True,sgdm,500,,nin_adjusted,,v1,all,june10_v1,0.001,complexity.pacbayes_orig_adjusted1,False,pacbayes_orig,True,0.32700803875923157,5.20242283528205e-05,499,0.023939019069075584,345.34056639671326,0.052024226635694504,4.249979156156769e-06,-0.0004559381050057709,0.0170904491096735,1591800776.972091,0.05201997607946396,0.0002885390422306955,503,-0.0008973822696134448,0.007185489870607853,5.20242283528205e-05
13,radiant-eon-6431,1,False,True,sgdm,500,,nin_adjusted,,v1,all,june10_v1,0.001,complexity.log_sum_of_spec_adjusted1,False,log_sum_of_spec,True,0.3258085250854492,6.295918865362182e-05,499,0.038336653262376785,349.1318795681,0.06295918673276901,2.1990381355863065e-06,0.000501571805216372,0.0175823662430048,1591800780.7629857,0.06295698881149292,0.0003648388083092868,724,0.00039275846211239696,0.007896370254456997,6.295918865362182e-05
14,volcanic-glade-6431,1,False,True,sgdm,500,,nin_adjusted,,v1,all,june10_v1,0.001,complexity.param_norm_adjusted1,False,param_norm,True,0.3287241756916046,5.538999903365038e-05,499,0.027681097388267517,343.8980052471161,0.055390000343322754,3.0500555112666916e-06,0.00047032261500135064,0.01750781759619713,1591800775.529317,0.055386949330568314,0.00032490212470293045,604,0.0013751614606007934,0.007634286768734455,5.538999903365038e-05
15,skilled-frog-6429,1,False,True,sgdm,500,,nin_adjusted,,v1,all,june10_v1,0.001,complexity.log_prod_of_spec_over_margin_adjusted1,False,log_prod_of_spec_over_margin,True,0.3374769687652588,7.35782814444974e-05,499,0.0,347.6401424407959,0.07357828319072723,6.76237459629192e-06,0.0005423296242952347,0.02179359085857868,1591800779.2716362,0.07357151806354523,0.00045737376785837114,971,0.0003107866214122623,0.009956789202988148,7.35782814444974e-05
16,polished-cosmos-6429,1,False,True,sgdm,500,,nin_adjusted,,v1,all,june10_v1,0.001,complexity.pacbayes_init_adjusted1,False,pacbayes_init,True,0.29954084753990173,3.625493263825774e-05,499,0.04064677283167839,348.75014424324036,0.03625493124127388,4.924516360915732e-06,-0.0003808104956988245,0.012043628841638563,1591800780.381423,0.03625000640749931,0.0001113388134399429,93,-0.0003148296964354813,0.004207434132695198,3.625493263825774e-05
17,azure-fire-6430,1,False,True,sgdm,500,,nin_adjusted,,v1,all,june10_v1,0.001,complexity.pacbayes_mag_orig_adjusted1,False,pacbayes_mag_orig,True,0.3398945927619934,6.797377136535943e-05,499,0.01892806962132454,348.22875785827637,0.06797377020120621,5.456603048514808e-06,0.0005212221876718104,0.021347718313336372,1591800779.8597126,0.06796831637620926,0.0004764497571159154,724,0.0006774577777832747,0.010007862001657486,6.797377136535943e-05
18,likely-waterfall-6430,1,False,True,sgdm,500,,nin_adjusted,,v1,all,june10_v1,0.001,complexity.path_norm_over_margin_adjusted1,False,path_norm_over_margin,True,0.29691269993782043,3.898606519214809e-05,499,0.03977593407034874,347.32239055633545,0.03898606449365616,5.123603386891773e-06,-0.00039484468288719654,0.013234864920377731,1591800778.95365,0.03898094221949577,0.0001405420043738559,39,0.0002391243469901383,0.004419471137225628,3.898606519214809e-05
19,ancient-feather-6429,1,False,True,sgdm,500,,nin_adjusted,,v1,all,june10_v1,0.001,complexity.log_sum_of_fro_over_margin_adjusted1,False,log_sum_of_fro_over_margin,True,0.32224252820014954,5.757192411692813e-05,499,0.041777223348617554,348.73628544807434,0.05757192522287369,2.2151168650452746e-06,-0.0004798102017957717,0.016816899180412292,1591800780.3674023,0.0575697086751461,0.0003314714413136244,505,-0.0005385330878198147,0.007442910689860582,5.757192411692813e-05
